"","Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge","RainfallCumulativeCMORPHDay0","RainfallCumulativeCMORPHDay1","RainfallCumulativeCMORPHDay2","RainfallCumulativeCMORPHDay3","RainfallCumulativeCMORPHDay4"
"1","ALICIA","1983-08-18",29.1,-95.1,100,962,241.3,NA,NA,NA,NA,NA,NA
"2","BARRY1983","1983-08-25",27.9,-80.6,30,1013,76.454,4,NA,NA,NA,NA,NA
"3","BARRY1983","1983-08-28",25.4,-97.4,70,986,NA,4,NA,NA,NA,NA,NA
"4","DIANA1984","1984-09-13",33.9,-78,80,979,482.092,NA,NA,NA,NA,NA,NA
"5","BOB1985","1985-07-25",32.2,-80.5,65,1003,546.1,NA,NA,NA,NA,NA,NA
"6","DANNY1985","1985-08-15",29.6,-92.7,80,987,248.92,NA,NA,NA,NA,NA,NA
"7","ELENA","1985-09-02",30.4,-89.2,100,959,398.018,1.97,NA,NA,NA,NA,NA
"8","HENRI1985","1985-09-24",40.8,-72.5,35,1007,80.264,NA,NA,NA,NA,NA,NA
"9","HENRI1985","1985-09-25",41.3,-71.8,30,1007,79.502,NA,NA,NA,NA,NA,NA
"10","GLORIA","1985-09-27",35.2,-75.6,90,942,246.38,NA,NA,NA,NA,NA,NA
"11","GLORIA","1985-09-27",40.6,-73.3,75,961,NA,NA,NA,NA,NA,NA,NA
"12","ISABEL1985","1985-10-10",30.6,-81.4,35,1008,85.852,16.2,NA,NA,NA,NA,NA
"13","JUAN1985","1985-10-29",29.5,-91.4,65,974,451.612,4.92,NA,NA,NA,NA,NA
"14","KATE","1985-11-21",30,-85.4,85,967,211.328,11,NA,NA,NA,NA,NA
"15","BONNIE1986","1986-06-26",29.6,-94.2,75,990,330.2,1.9,NA,NA,NA,NA,NA
"16","CHARLEY1986","1986-08-17",34.7,-76.5,65,990,218.694,13.12,NA,NA,NA,NA,NA
"17","UNNAMED1987","1987-08-10",29.5,-94.5,40,1009,NA,3.28,NA,NA,NA,NA,NA
"18","EMILY1987","1987-09-23",18.3,-71,95,965,117.602,15,NA,NA,NA,NA,NA
"19","EMILY1987","1987-09-25",32.3,-64.7,75,974,67.31,15,NA,NA,NA,NA,NA
"20","FLOYD1987","1987-10-12",25.1,-80.5,65,993,255.778,5.28,NA,NA,NA,NA,NA
"21","CHRIS","1988-08-28",32,-80.9,40,1005,194.056,NA,NA,NA,NA,NA,NA
"22","DEBBY1988","1988-09-03",20.7,-97.3,65,987,662.686,4.49,NA,NA,NA,NA,NA
"23","FLORENCE1988","1988-09-10",29.1,-89.3,70,984,274.066,6,NA,NA,NA,NA,NA
"24","GILBERT","1988-09-12",17.8,-76.8,115,960,350.012,9,NA,NA,NA,NA,NA
"25","GILBERT","1988-09-14",20.7,-87,140,900,218.44,9,NA,NA,NA,NA,NA
"26","GILBERT","1988-09-16",24.2,-97.8,110,955,NA,9,NA,NA,NA,NA,NA
"27","JOAN","1988-10-15",12.1,-61.8,45,1003,NA,NA,NA,NA,NA,NA,NA
"28","JOAN","1988-10-17",12,-71.2,55,997,NA,NA,NA,NA,NA,NA,NA
"29","JOAN","1988-10-22",11.9,-83.7,125,932,NA,NA,NA,NA,NA,NA,NA
"30","KEITH1988","1988-11-21",21.2,-86.8,60,993,260.858,5,NA,NA,NA,NA,NA
