"","Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge"
"1","ALICIA","1983-08-18",29.1,-95.1,100,962,241.3,NA
"2","BARRY","1983-08-25",27.9,-80.6,30,1013,76.454,4
"3","BARRY","1983-08-28",25.4,-97.4,70,986,NA,4
"4","DIANA","1984-09-13",33.9,-78,80,979,482.092,NA
"5","BOB","1985-07-25",32.2,-80.5,65,1003,546.1,NA
"6","DANNY","1985-08-15",29.6,-92.7,80,987,248.92,NA
"7","ELENA","1985-09-02",30.4,-89.2,100,959,398.018,1.97
"8","HENRI","1985-09-24",40.8,-72.5,35,1007,80.264,NA
"9","HENRI","1985-09-25",41.3,-71.8,30,1007,79.502,NA
"10","GLORIA","1985-09-27",35.2,-75.6,90,942,246.38,NA
"11","GLORIA","1985-09-27",40.6,-73.3,75,961,NA,NA
"12","ISABEL","1985-10-10",30.6,-81.4,35,1008,85.852,16.2
"13","JUAN","1985-10-29",29.5,-91.4,65,974,451.612,4.92
"14","KATE","1985-11-21",30,-85.4,85,967,211.328,11
"15","BONNIE","1986-06-26",29.6,-94.2,75,990,330.2,1.9
"16","CHARLEY","1986-08-17",34.7,-76.5,65,990,218.694,13.12
"17","UNNAMED","1987-08-10",29.5,-94.5,40,1009,NA,3.28
"18","EMILY","1987-09-23",18.3,-71,95,965,117.602,15
"19","EMILY","1987-09-25",32.3,-64.7,75,974,67.31,15
"20","FLOYD","1987-10-12",25.1,-80.5,65,993,255.778,5.28
"21","CHRIS","1988-08-28",32,-80.9,40,1005,194.056,NA
"22","DEBBY","1988-09-03",20.7,-97.3,65,987,662.686,4.49
"23","FLORENCE","1988-09-10",29.1,-89.3,70,984,274.066,6
"24","GILBERT","1988-09-12",17.8,-76.8,115,960,350.012,9
"25","GILBERT","1988-09-14",20.7,-87,140,900,218.44,9
"26","GILBERT","1988-09-16",24.2,-97.8,110,955,NA,9
"27","JOAN","1988-10-15",12.1,-61.8,45,1003,NA,NA
"28","JOAN","1988-10-17",12,-71.2,55,997,NA,NA
"29","JOAN","1988-10-22",11.9,-83.7,125,932,NA,NA
"30","KEITH","1988-11-21",21.2,-86.8,60,993,260.858,5
"31","KEITH","1988-11-23",27.3,-82.6,55,995,195.072,5
"32","ALLISON","1989-06-26",28.7,-95.7,40,1002,652.018,3
"33","CHANTAL","1989-08-01",29.6,-94.4,70,986,508,NA
"34","DEAN","1989-08-08",46.9,-55.9,55,991,NA,18
"35","HUGO","1989-09-17",16.3,-61.3,120,941,261.112,8.2
"36","HUGO","1989-09-18",17.7,-64.8,120,940,284.48,8.2
"37","HUGO","1989-09-18",18.2,-65.5,110,945,447.04,8.2
"38","HUGO","1989-09-18",18.3,-65.6,110,946,NA,8.2
"39","HUGO","1989-09-22",32.8,-79.8,120,934,NA,8.2
"40","JERRY","1989-10-16",29.2,-95,75,983,170.434,NA
"41","DIANA","1990-08-05",19,-87.6,55,994,NA,NA
"42","DIANA","1990-08-07",20.9,-97,85,980,NA,NA
"43","BOB","1991-08-19",41.2,-71.6,90,962,NA,NA
"44","BOB","1991-08-19",41.4,-71.4,85,964,NA,NA
"45","BOB","1991-08-20",44.1,-69.1,60,981,NA,NA
"46","ERIKA","1991-09-12",37.7,-25.9,35,1009,NA,NA
"47","FABIAN","1991-10-15",21.5,-82.8,40,1004,106.426,10
"48","FABIAN","1991-10-16",22.4,-81.8,40,1004,NA,10
"49","UNNAMED","1991-11-02",44.6,-63.5,45,998,NA,3.28
"50","ANDREW","1992-08-23",25.4,-76.6,140,923,355.092,16
"51","ANDREW","1992-08-24",25.4,-77.8,130,931,NA,16
"52","ANDREW","1992-08-24",25.5,-80.2,145,926,NA,16
"53","ANDREW","1992-08-24",25.5,-80.3,145,922,NA,16
"54","ANDREW","1992-08-26",29.6,-91.5,100,956,NA,16
"55","DANIELLE","1992-09-25",37.8,-75.5,55,1007,106.68,NA
"56","CHARLEY","1992-09-27",38,-28,55,981,NA,13.12
"57","ARLENE","1993-06-20",27.1,-97.4,35,1001,387.604,5
"58","BRET","1993-08-07",10.8,-60.8,50,1002,NA,NA
"59","BRET","1993-08-07",10.8,-61.8,50,1002,NA,NA
"60","BRET","1993-08-08",11,-68.3,40,1007,NA,NA
"61","BRET","1993-08-10",11.1,-83.8,40,1002,NA,NA
"62","CINDY","1993-08-14",14.5,-60.9,35,1012,116.84,NA
"63","CINDY","1993-08-16",18.3,-71,30,1009,37.592,NA
"64","GERT","1993-09-15",11.8,-83.8,35,1005,804.926,3
"65","GERT","1993-09-18",17.3,-88.1,35,1000,NA,3
"66","GERT","1993-09-20",21.2,-97.5,85,970,NA,3
"67","ALBERTO","1994-07-03",30.4,-86.5,55,993,707.39,NA
"68","UNNAMED","1994-07-20",33.2,-79.2,30,1015,NA,3.28
"69","BERYL","1994-08-16",30,-85.6,50,1000,443.23,NA
"70","UNNAMED","1994-08-31",22.4,-98,30,1007,NA,3.28
"71","DEBBY","1994-09-10",14,-61,55,1007,NA,4.49
"72","UNNAMED","1994-09-25",16.6,-88.4,30,1004,NA,3.28
"73","GORDON","1994-11-10",14,-83.4,30,1008,408.94,NA
"74","GORDON","1994-11-13",17.9,-76.8,35,1000,NA,NA
"75","GORDON","1994-11-13",20,-74.9,40,1000,NA,NA
"76","GORDON","1994-11-15",24.6,-81.7,45,999,NA,NA
"77","GORDON","1994-11-16",26.5,-81.9,45,996,NA,NA
"78","GORDON","1994-11-21",28.5,-80.6,25,1011,NA,NA
"79","ALLISON","1995-06-05",29.9,-84.4,60,991,NA,3
"80","ALLISON","1995-06-05",30.1,-84.2,55,991,NA,3
"81","BARRY","1995-07-09",45.3,-61,50,990,NA,4
"82","BARRY","1995-07-09",45.6,-60.8,45,990,NA,4
"83","DEAN","1995-07-31",29.2,-95.3,40,999,NA,18
"84","ERIN","1995-08-02",27.7,-80.3,75,984,508,3.1
"85","ERIN","1995-08-03",30.3,-87.2,75,973,NA,3.1
"86","UNNAMED","1995-08-06",21.5,-97.4,30,1002,NA,3.28
"87","GABRIELLE","1995-08-11",23.7,-97.8,60,988,493.776,NA
