Year,Month,Day,ID,Name,Class,Latitude,Longitude,Central Pressure(hPa),Maximum Wind Speed(knots),50KT,50KT Diameter,50KT Minor Diameter,30KT,30KT Diameter,30KT Minor Diameter,Landing,Rainfall(mm)
2001,8,21,111,PABUK,4,33.5,135.5,970,55,9,30,30,3,300,240,1,41.5
2001,8,22,111,PABUK,3,34.8,138.8,982,45,0,0,0,2,300,150,1,13
2001,9,6,116,NARI,4,26.1,127.6,985,50,0,0,0,9,90,90,1,0
2001,9,7,116,NARI,4,26.3,127.8,975,60,9,20,20,9,90,90,1,1
2001,9,11,115,DANAS,4,35.2,139.5,970,55,3,30,15,2,300,150,1,99.5
2001,9,12,116,NARI,4,26.4,126.8,975,60,9,35,35,6,140,100,1,-
2002,6,9,204,NOGURI,4,24.6,125.3,975,60,3,30,20,3,100,50,1,0
2002,7,3,205,RAMMASUN,5,24.7,125.3,945,85,3,170,140,3,400,300,1,-
2002,7,10,206,CHATAAN,4,34.9,139.7,970,55,2,50,20,2,250,90,1,27
2002,7,11,206,CHATAAN,3,43,144.5,980,45,0,0,0,3,300,200,1,0
2002,7,14,207,HALONG,5,26.2,127.6,960,70,3,100,60,3,280,170,1,0
2002,7,16,207,HALONG,4,34.6,138.7,975,60,3,100,10,3,210,60,1,13.5
2002,7,25,209,FENGSHEN,4,30.3,130.9,970,55,9,60,60,1,220,160,1,0
2002,8,19,213,PHANFONE,5,32.9,139.9,965,65,9,60,60,4,160,130,1,2.5
2002,8,29,215,RUSA,5,28.4,129.6,950,75,1,120,60,1,270,240,1,9.5
2002,9,3,216,SINLAKU,5,25.7,131.3,960,75,8,90,60,8,220,180,1,-
2002,9,4,216,SINLAKU,5,26.2,127.9,955,80,8,100,80,1,240,180,1,0
2002,10,1,221,HIGOS,5,35.3,139.6,960,70,3,100,60,3,300,180,1,26.5
2003,5,30,304,LINFA,3,33.2,132.3,985,45,0,0,0,3,200,80,1,1
2003,6,17,306,SOUDELOR,5,24.2,123.8,968,65,3,120,60,3,250,120,1,7.5
2003,6,19,306,SOUDELOR,4,34.2,129.2,975,60,3,50,30,3,190,80,1,0
2003,8,7,310,ETAU,5,28.1,129.2,945,85,4,160,80,3,350,220,1,18
2003,8,8,310,ETAU,5,33.2,134,950,75,3,160,20,3,325,200,1,13
2003,8,9,310,ETAU,3,41.9,142.8,985,40,0,0,0,3,325,50,1,42.5
2003,9,10,314,MAEMI,5,24.8,125.4,910,105,9,80,80,2,240,200,1,12
2003,9,19,315,CHOI-WAN,4,28.1,129.2,975,60,2,70,50,3,300,150,1,0
2004,6,11,404,CONSON,3,33.3,134.1,994,35,0,0,0,9,20,20,1,23
2004,6,21,406,DIANMU,5,33.1,133.9,965,70,3,80,40,3,300,200,1,44
2004,7,31,410,NAMTHEUN,5,33.1,133.2,980,65,9,50,50,3,200,120,1,2.5
2004,8,4,411,MALOU,3,33.6,134.7,996,40,0,0,0,1,100,25,1,21
2004,8,19,415,MEGI,4,40.9,140.2,980,60,9,50,50,2,300,180,1,0
2004,8,30,416,CHABA,5,31.5,130.2,950,80,2,120,100,2,300,220,1,9
2004,8,31,416,CHABA,4,41.4,140.5,975,60,4,100,60,3,350,200,1,1.5
2004,9,5,418,SONGDA,5,26.4,128.1,925,95,2,160,80,2,350,300,1,3.5
2004,9,7,418,SONGDA,5,32.7,129.6,945,75,3,90,80,3,325,240,1,0
2004,9,28,421,MEARI,4,31.5,130.2,970,60,9,75,75,3,240,160,1,3
2004,9,29,421,MEARI,4,32.9,132.7,980,55,4,80,50,3,240,160,1,96
2004,10,9,422,MA-ON,5,34.8,138.8,950,80,2,60,30,3,220,180,1,10.5
