ID,Name,Time,Central Position,,Central Pressure,Maximum Wind Speed,,Gale Radius,Moving Speed,Daily Precipitation
,,,Latitude(°N),Longitude(°E),(hPa),(m/s),(km/h),(km),(km/h),(mm)
200205,RAMMASUN,6/29/2002,11.3,136.2,996,20,72,130,5,0
200205,RAMMASUN,6/30/2002,13.3,134.6,985,26,94,480,15,1.5
200205,RAMMASUN,7/1/2002,16.2,132.7,975,31,112,650,18,22
200205,RAMMASUN,7/2/2002,20.2,128.8,965,36,130,830,28,18
200205,RAMMASUN,7/3/2002,24.7,125.4,945,44,158,750,18,-
200205,RAMMASUN,7/4/2002,25.6,124.8,945,44,158,740,16,14
200205,RAMMASUN,7/5/2002,29.8,124.2,955,38,137,610,22,215
200205,RAMMASUN,7/6/2002,34.5,125.2,980,25,90,370,22,2
200215,RUSA,8/23/2002,16.5,161,1000,18,65,180,26,13
200215,RUSA,8/24/2002,19.1,156,985,26,94,370,22,6.5
200215,RUSA,8/25/2002,21.1,150.8,975,31,112,650,32,-
200215,RUSA,8/26/2002,22.6,145.6,955,40,144,600,21,-
200215,RUSA,8/27/2002,23.7,140.5,955,39,140,650,24,-
200215,RUSA,8/28/2002,25.1,136.5,955,39,140,650,25,0
200215,RUSA,8/29/2002,27.6,131.5,950,41,148,550,24,0
200215,RUSA,8/30/2002,28.8,128.8,950,36,130,500,17,65.5
200215,RUSA,8/31/2002,31.6,127.6,955,36,130,500,11,126
200215,RUSA,9/1/2002,35.9,127.6,980,24,86,360,18,0.5
200314,MAEMI,9/6/2003,16,141.5,996,18,65,310,15,-
200314,MAEMI,9/7/2003,18.9,136.9,992,21,76,300,20,-
200314,MAEMI,9/8/2003,20.1,132.9,975,31,112,350,20,0.5
200314,MAEMI,9/9/2003,22.4,129.4,950,41,148,350,23,12.5
200314,MAEMI,9/10/2003,24.3,126,915,54,194,440,12,-
200314,MAEMI,9/11/2003,25.3,125.1,910,54,194,460,8,34.5
200314,MAEMI,9/12/2003,28.5,125.8,935,46,166,460,28,231.5
200314,MAEMI,9/13/2003,35.8,128.7,960,36,130,300,42,0.4
200314,MAEMI,9/14/2003,46,144,984,-,-,550,55,-
200603,EWINIAR,7/1/2006,9.4,137,995,19,68,220,23,33
200603,EWINIAR,7/2/2006,10.7,136.3,992,21,76,260,13,-
200603,EWINIAR,7/3/2006,13.1,134.5,970,36,130,330,10,0
200603,EWINIAR,7/4/2006,16.1,132.5,945,44,158,400,15,10
200603,EWINIAR,7/5/2006,18.2,130.1,920,51,184,460,13,0.5
200603,EWINIAR,7/6/2006,18.8,129.2,935,43,155,460,9,-
200603,EWINIAR,7/7/2006,20.6,127.8,940,43,155,440,11,-
200603,EWINIAR,7/8/2006,22.5,126.5,950,41,148,440,13,63
200603,EWINIAR,7/9/2006,26.3,125.9,955,38,137,460,23,7.5
200603,EWINIAR,7/10/2006,31.1,125.9,970,33,119,330,20,145.5
200711,NARI,9/13/2007,23.2,132,992,23,83,200,17,0.1
200711,NARI,9/14/2007,25.7,127.2,945,46,166,200,19,83
200711,NARI,9/15/2007,26.7,126.5,940,48,173,200,20,87
200711,NARI,9/16/2007,30.4,126.2,950,43,155,180,17,420
200711,NARI,9/17/2007,36,128.2,1000,-,-,-,31,3
201004,DIANMU,8/8/2010,23.6,125.1,994,21,76,100,19,-
201004,DIANMU,8/9/2010,27.1,125.6,985,27,97,250,26,1.5
201004,DIANMU,8/10/2010,31.1,125.1,980,31,112,300,38,59
201004,DIANMU,8/11/2010,33.7,126.3,985,27,97,250,29,17.5
201004,DIANMU,8/12/2010,36.9,133.6,992,22,79,120,23,-
201007,KOMPASU,8/29/2010,21.2,134.4,1000,18,65,220,18,17
201007,KOMPASU,8/30/2010,23.8,131.2,980,31,112,350,14,5.5
201007,KOMPASU,8/31/2010,25.1,129.4,960,40,144,450,19,7
201007,KOMPASU,9/1/2010,30.4,125.2,960,40,144,300,38,57.5
201007,KOMPASU,9/2/2010,35.3,125,970,38,137,240,38,54
201007,KOMPASU,9/3/2010,41.2,134.5,1008,-,-,-,34,-
201207,KHANUN,7/16/2012,24.2,136.1,1002,18,65,150,50,0.1
201207,KHANUN,7/17/2012,26.1,130.9,992,22,79,230,33,74
201207,KHANUN,7/18/2012,28.5,127.3,988,25,90,250,25,53.4
201207,KHANUN,7/19/2012,34.6,126.2,992,22,79,200,33,0
201214,TEMBIN,8/19/2012,17.5,124.8,996,19,68,230,3,-
201214,TEMBIN,8/20/2012,18.8,125.2,950,43,155,350,8,-
201214,TEMBIN,8/21/2012,19.5,125.3,945,45,162,350,13,0.3
201214,TEMBIN,8/22/2012,22.3,124.9,955,41,148,320,9,20.3
201214,TEMBIN,8/23/2012,22.7,122.5,955,41,148,250,12,145.8
201214,TEMBIN,8/24/2012,22.4,121.3,955,41,148,250,21,46.2
201214,TEMBIN,8/25/2012,22.4,119.2,975,34,122,220,5,-
201214,TEMBIN,8/26/2012,21,116.8,970,36,130,250,7,0.7
201214,TEMBIN,8/27/2012,20.5,116.8,965,38,137,250,6,140.4
201214,TEMBIN,8/28/2012,21.9,120,975,34,122,230,16,165.5
201214,TEMBIN,8/29/2012,26.3,124,980,31,112,200,20,13.1
201214,TEMBIN,8/30/2012,30.9,124.9,980,31,112,200,32,38.7
201214,TEMBIN,8/31/2012,37.3,130.3,1002,-,-,-,33,-
201216,SANBA,9/11/2012,11.4,133.4,996,19,68,200,17,0
201216,SANBA,9/12/2012,13.6,130.6,980,31,112,300,14,-
201216,SANBA,9/13/2012,16.3,129.6,930,50,180,520,13,2.5
201216,SANBA,9/14/2012,19.1,129.8,910,56,202,530,19,1.7
201216,SANBA,9/15/2012,21.4,129.5,920,53,191,500,22,6
201216,SANBA,9/16/2012,25.6,128.2,935,48,173,480,21,193.2
201216,SANBA,9/17/2012,31.4,127.8,940,47,169,400,30,206
