"","year","Name","Surge","MaxWindSpeed","RainfallPointMax","Tornado","Radius","Pressure","Surge_Z","MaxWindSpeed_Z","RainfallPointMax_Z","Tornado_Z","Pressure_Z","Radius_Z"
"1",1994,"ALBERTO",NA,55,707.39,NA,NA,993,NA,-0.408205825379738,1.29607218682061,NA,0.602650253247366,NA
"2",2006,"ALBERTO",NA,40,181.864,17,125,998,NA,-0.954542080853955,-0.912130797098872,0.0160012653808649,0.804358654231597,0.85333079801232
"3",2018,"ALBERTO",NA,40,312.42,4,40,992,NA,-0.954542080853955,-0.363548712161891,-0.582046028228959,0.56230857305052,-0.415348825699187
"4",2010,"ALEX",NA,95,890.016,11,90,946,NA,1.04869085588484,2.06344673753985,-0.260020562439054,-1.2934087160044,0.330933305895817
"5",2016,"ALEX",NA,55,NA,NA,360,986,NA,-0.408205825379738,NA,NA,0.320258491869443,4.36085681650884
"6",1983,"ALICIA",NA,100,241.3,NA,NA,962,NA,1.23080294104291,-0.66238720201083,NA,-0.647941832854864,NA
"7",1989,"ALLISON",3,40,652.018,NA,NA,1002,-0.73466417686627,-0.954542080853955,1.06340507686679,NA,0.965725375018981,NA
"8",1995,"ALLISON",3,60,231.14,6,NA,991,-0.73466417686627,-0.226093740221666,-0.705078414846393,-0.490038752288986,0.521966892853674,NA
"9",2001,"ALLISON",3,45,1033.272,26,NA,1003,-0.73466417686627,-0.772429995695883,2.66539283852128,0.430034007110743,1.00606705521583,NA
"10",2005,"ALPHA",NA,45,NA,NA,0,1000,NA,-0.772429995695883,NA,NA,0.885042014625289,-1.01237453097519
"11",2018,"AMPIL",NA,50,NA,NA,NA,985,NA,-0.590317910537811,NA,NA,0.279916811672597,NA
"12",2015,"ANA",NA,40,175.006,1,80,1002,NA,-0.954542080853955,-0.940947365762877,-0.720056942138918,0.965725375018981,0.181676879576817
"13",2013,"ANDREA",NA,50,362.458,11,70,992,NA,-0.590317910537811,-0.153294488946745,-0.260020562439054,0.56230857305052,0.0324204532578157
"14",1992,"ANDREW",16,145,355.092,NA,NA,922,2.05564867414505,2.86981170746556,-0.184245618252528,NA,-2.26160904072871,NA
"15",1993,"ARLENE",5,35,387.604,NA,NA,1001,-0.305385276710683,-1.13665416601203,-0.0476337371787275,NA,0.925383694822135,NA
"16",2005,"ARLENE",5,50,249.936,3,100,991,-0.305385276710683,-0.590317910537811,-0.626099671100602,-0.628049666198945,0.521966892853674,0.480189732214818
"17",2011,"ARLENE",5,55,NA,1,70,993,-0.305385276710683,-0.408205825379738,NA,-0.720056942138918,0.602650253247366,0.0324204532578157
"18",1996,"ARTHUR",NA,35,NA,NA,NA,1005,NA,-1.13665416601203,NA,NA,1.08675041560952,NA
"19",2008,"ARTHUR",NA,40,NA,NA,0,1004,NA,-0.954542080853955,NA,NA,1.04640873541267,-1.01237453097519
"20",2014,"ARTHUR",NA,85,221.742,5,100,973,NA,0.684466685568694,-0.744567786719288,-0.536042390258972,-0.204183350689557,0.480189732214818
"21",2005,"BANYAN",NA,45,NA,NA,NA,978,NA,-0.772429995695883,NA,NA,-0.00247494970532607,NA
"22",1983,"BARRY",4,70,76.454,NA,NA,986,-0.520024726788477,0.138130430094478,-1.35505213026783,NA,0.320258491869443,NA
"23",1995,"BARRY",4,50,NA,NA,NA,990,-0.520024726788477,-0.590317910537811,NA,NA,0.481625212656828,NA
"24",2001,"BARRY",4,60,297.18,4,NA,990,-0.520024726788477,-0.226093740221666,-0.427585531415235,-0.582046028228959,0.481625212656828,NA
"25",2007,"BARRY",4,30,203.2,2,20,1000,-0.520024726788477,-1.3187662511701,-0.82247925014419,-0.674053304168932,0.885042014625289,-0.713861678337188
"26",2013,"BARRY",4,40,NA,NA,0,1003,-0.520024726788477,-0.954542080853955,NA,NA,1.00606705521583,-1.01237453097519
"27",2019,"BARRY",4,65,598.932,1,90,993,-0.520024726788477,-0.0439816550635943,0.840343489800977,-0.720056942138918,0.602650253247366,0.330933305895817
"28",1996,"BERTHA",NA,90,233.68,15,NA,974,NA,0.866578770726766,-0.694405611637502,-0.076006010559108,-0.163841670492711,NA
"29",2002,"BERTHA",NA,35,260.35,NA,NA,1008,NA,-1.13665416601203,-0.58234117794415,NA,1.20777545620006,NA
"30",2014,"BERTHA",NA,40,279.4,NA,50,1013,NA,-0.954542080853955,-0.50229515387747,NA,1.40948385718429,-0.266092399380186
"31",1994,"BERYL",NA,50,443.23,NA,NA,1000,NA,-0.590317910537811,0.186100653095978,NA,0.885042014625289,NA
"32",2006,"BERYL",NA,45,24.638,NA,40,1000,NA,-0.772429995695883,-1.5727773157292,NA,0.885042014625289,-0.415348825699187
"33",2012,"BERYL",NA,55,381,4,50,994,NA,-0.408205825379738,-0.0753830255218432,-0.582046028228959,0.642991933444212,-0.266092399380186
"34",2005,"BETA",NA,90,NA,NA,30,970,NA,0.866578770726766,NA,NA,-0.325208391280095,-0.564605252018188
"35",2003,"BILL",3.1,50,259.08,30,NA,997,-0.713200231858491,-0.590317910537811,-0.587677579548596,0.614048558990689,0.764016974034751,NA
"36",2009,"BILL",3.1,60,134.874,NA,175,976,-0.713200231858491,-0.226093740221666,-1.10957765646335,NA,-0.0831583100990184,1.59961292960732
"37",2015,"BILL",3.1,50,383.794,19,20,997,-0.713200231858491,-0.590317910537811,-0.0636429419920635,0.108008541320838,0.764016974034751,-0.713861678337188
"38",1985,"BOB",NA,65,546.1,NA,NA,1003,NA,-0.0439816550635943,0.618349183056051,NA,1.00606705521583,NA
"39",1991,"BOB",NA,90,209.296,NA,NA,962,NA,0.866578770726766,-0.796864522442853,NA,-0.647941832854864,NA
"40",2012,"BOLAVEN",NA,85,NA,NA,NA,930,NA,0.684466685568694,NA,NA,-1.93887559915394,NA
"41",1986,"BONNIE",1.9,75,330.2,NA,NA,990,-0.970767571951843,0.32024251525255,-0.288839089699657,NA,0.481625212656828,NA
"42",1998,"BONNIE",1.9,95,371.094,8,NA,964,-0.970767571951843,1.04869085588484,-0.117006958036517,-0.398031476349013,-0.567258472461172,NA
