X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -83.87500    	    1284.188    	   0.4562500    
   -83.62500    	    1284.188    	   0.5444443    
   -83.87500    	    1284.312    	   5.4166663E-02
   -83.62500    	    1284.312    	   5.8333330E-02
   -83.87500    	    1284.438    	   0.1145833    
   -83.62500    	    1284.438    	   3.8888890E-02
   -83.87500    	    1284.562    	    1.689583    
   -83.62500    	    1284.562    	    1.738889    
   -83.87500    	    1284.688    	   0.6854169    
   -83.62500    	    1284.688    	    1.683333    
   -83.87500    	    1284.812    	   6.4583331E-02
   -83.62500    	    1284.812    	   0.1500000    
   -83.87500    	    1284.938    	   1.8750001E-02
   -83.62500    	    1284.938    	   5.2777782E-02
   -83.87500    	    1285.062    	   6.2500001E-03
   -83.62500    	    1285.062    	   6.1111111E-02
   -83.87500    	    1285.188    	   8.3333338E-03
   -83.62500    	    1285.188    	   0.0000000E+00
