X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -86.12500    	    30.12500    	    5651.438    	   0.3111111    
   -85.87500    	    30.12500    	    5651.438    	   0.1222222    
   -86.12500    	    30.37500    	    5651.438    	   0.0000000E+00
   -85.87500    	    30.37500    	    5651.438    	   0.0000000E+00
   -86.12500    	    30.12500    	    5651.562    	    3.748149    
   -85.87500    	    30.12500    	    5651.562    	    4.725926    
   -86.12500    	    30.37500    	    5651.562    	    1.425000    
   -85.87500    	    30.37500    	    5651.562    	    1.788889    
   -86.12500    	    30.12500    	    5651.688    	    8.925926    
   -85.87500    	    30.12500    	    5651.688    	    7.662963    
   -86.12500    	    30.37500    	    5651.688    	    6.116667    
   -85.87500    	    30.37500    	    5651.688    	    5.491666    
   -86.12500    	    30.12500    	    5651.812    	    7.070371    
   -85.87500    	    30.12500    	    5651.812    	    4.296297    
   -86.12500    	    30.37500    	    5651.812    	    12.99167    
   -85.87500    	    30.37500    	    5651.812    	    6.611111    
   -86.12500    	    30.12500    	    5651.938    	   0.1481481    
   -85.87500    	    30.12500    	    5651.938    	   6.6666670E-02
   -86.12500    	    30.37500    	    5651.938    	   0.9361112    
   -85.87500    	    30.37500    	    5651.938    	   1.1111111E-02
   -86.12500    	    30.12500    	    5652.062    	   1.1111111E-02
   -85.87500    	    30.12500    	    5652.062    	   0.0000000E+00
   -86.12500    	    30.37500    	    5652.062    	   0.0000000E+00
   -85.87500    	    30.37500    	    5652.062    	   0.0000000E+00
   -86.12500    	    30.12500    	    5652.188    	   0.0000000E+00
   -85.87500    	    30.12500    	    5652.188    	   0.0000000E+00
   -86.12500    	    30.37500    	    5652.188    	   0.0000000E+00
   -85.87500    	    30.37500    	    5652.188    	   0.0000000E+00
   -86.12500    	    30.12500    	    5652.312    	   0.0000000E+00
   -85.87500    	    30.12500    	    5652.312    	   0.0000000E+00
   -86.12500    	    30.37500    	    5652.312    	   0.0000000E+00
   -85.87500    	    30.37500    	    5652.312    	   0.0000000E+00
   -86.12500    	    30.12500    	    5652.438    	   0.0000000E+00
   -85.87500    	    30.12500    	    5652.438    	   0.0000000E+00
   -86.12500    	    30.37500    	    5652.438    	   0.1166667    
   -85.87500    	    30.37500    	    5652.438    	   0.0000000E+00
