X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -88.37500    	    17.37500    	    2758.562    	    1.333333    
   -88.12500    	    17.37500    	    2758.562    	   0.9000000    
   -88.37500    	    17.62500    	    2758.562    	    1.059259    
   -88.12500    	    17.62500    	    2758.562    	   0.3222222    
   -88.37500    	    17.37500    	    2758.688    	    1.003704    
   -88.12500    	    17.37500    	    2758.688    	    1.559259    
   -88.37500    	    17.62500    	    2758.688    	   0.3407407    
   -88.12500    	    17.62500    	    2758.688    	    1.188889    
   -88.37500    	    17.37500    	    2758.812    	    12.50741    
   -88.12500    	    17.37500    	    2758.812    	    23.65926    
   -88.37500    	    17.62500    	    2758.812    	    18.02592    
   -88.12500    	    17.62500    	    2758.812    	    22.80000    
   -88.37500    	    17.37500    	    2758.938    	    8.388889    
   -88.12500    	    17.37500    	    2758.938    	    8.118520    
   -88.37500    	    17.62500    	    2758.938    	    3.403704    
   -88.12500    	    17.62500    	    2758.938    	    4.318519    
   -88.37500    	    17.37500    	    2759.062    	    6.522223    
   -88.12500    	    17.37500    	    2759.062    	    5.670371    
   -88.37500    	    17.62500    	    2759.062    	    9.433333    
   -88.12500    	    17.62500    	    2759.062    	    10.51111    
   -88.37500    	    17.37500    	    2759.188    	    5.274074    
   -88.12500    	    17.37500    	    2759.188    	    3.881481    
   -88.37500    	    17.62500    	    2759.188    	    11.00371    
   -88.12500    	    17.62500    	    2759.188    	    4.188889    
   -88.37500    	    17.37500    	    2759.312    	    3.837038    
   -88.12500    	    17.37500    	    2759.312    	   0.8296298    
   -88.37500    	    17.62500    	    2759.312    	    3.581482    
   -88.12500    	    17.62500    	    2759.312    	   0.7851851    
   -88.37500    	    17.37500    	    2759.438    	    1.407408    
   -88.12500    	    17.37500    	    2759.438    	   0.8000000    
   -88.37500    	    17.62500    	    2759.438    	    1.229630    
   -88.12500    	    17.62500    	    2759.438    	    1.314815    
   -88.37500    	    17.37500    	    2759.562    	   7.4074075E-02
   -88.12500    	    17.37500    	    2759.562    	   0.1962962    
   -88.37500    	    17.62500    	    2759.562    	   0.1222222    
   -88.12500    	    17.62500    	    2759.562    	   0.2370370    
