Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    38.62500    	    4787.062    	   1.6666668E-02
    38.87500    	    4787.062    	   0.1805555    
    38.62500    	    4787.188    	   0.5111111    
    38.87500    	    4787.188    	   0.4694445    
    38.62500    	    4787.312    	    1.866667    
    38.87500    	    4787.312    	    4.622222    
    38.62500    	    4787.438    	   0.2416667    
    38.87500    	    4787.438    	   0.8333333    
    38.62500    	    4787.562    	   0.5138889    
    38.87500    	    4787.562    	   0.4888889    
    38.62500    	    4787.688    	   6.6666678E-02
    38.87500    	    4787.688    	   0.1083333    
    38.62500    	    4787.812    	   0.0000000E+00
    38.87500    	    4787.812    	   0.0000000E+00
    38.62500    	    4787.938    	   0.0000000E+00
    38.87500    	    4787.938    	   0.0000000E+00
    38.62500    	    4788.062    	   0.0000000E+00
    38.87500    	    4788.062    	   0.0000000E+00
