X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -71.37500    	    18.12500    	    1050.938    	   0.0000000E+00
   -71.12500    	    18.12500    	    1050.938    	   0.0000000E+00
   -71.37500    	    18.37500    	    1050.938    	   0.0000000E+00
   -71.12500    	    18.37500    	    1050.938    	   0.0000000E+00
   -71.37500    	    18.12500    	    1051.062    	   0.0000000E+00
   -71.12500    	    18.12500    	    1051.062    	   3.7037039E-03
   -71.37500    	    18.37500    	    1051.062    	   0.0000000E+00
   -71.12500    	    18.37500    	    1051.062    	   0.0000000E+00
   -71.37500    	    18.12500    	    1051.188    	   0.8333333    
   -71.12500    	    18.12500    	    1051.188    	   0.7037037    
   -71.37500    	    18.37500    	    1051.188    	   3.3333335E-02
   -71.12500    	    18.37500    	    1051.188    	   0.3750000    
   -71.37500    	    18.12500    	    1051.312    	    8.102777    
   -71.12500    	    18.12500    	    1051.312    	    4.688889    
   -71.37500    	    18.37500    	    1051.312    	    3.558333    
   -71.12500    	    18.37500    	    1051.312    	    2.061111    
   -71.37500    	    18.12500    	    1051.438    	    13.28056    
   -71.12500    	    18.12500    	    1051.438    	    12.27407    
   -71.37500    	    18.37500    	    1051.438    	    13.42083    
   -71.12500    	    18.37500    	    1051.438    	    11.18612    
   -71.37500    	    18.12500    	    1051.562    	    7.575000    
   -71.12500    	    18.12500    	    1051.562    	    4.888889    
   -71.37500    	    18.37500    	    1051.562    	    6.556252    
   -71.12500    	    18.37500    	    1051.562    	    3.250000    
   -71.37500    	    18.12500    	    1051.688    	    2.352777    
   -71.12500    	    18.12500    	    1051.688    	   0.8666669    
   -71.37500    	    18.37500    	    1051.688    	    1.895834    
   -71.12500    	    18.37500    	    1051.688    	    1.305556    
   -71.37500    	    18.12500    	    1051.812    	   0.0000000E+00
   -71.12500    	    18.12500    	    1051.812    	   0.0000000E+00
   -71.37500    	    18.37500    	    1051.812    	   0.0000000E+00
   -71.12500    	    18.37500    	    1051.812    	   0.0000000E+00
   -71.37500    	    18.12500    	    1051.938    	   0.0000000E+00
   -71.12500    	    18.12500    	    1051.938    	   0.0000000E+00
   -71.37500    	    18.37500    	    1051.938    	   0.0000000E+00
   -71.12500    	    18.37500    	    1051.938    	   0.0000000E+00
