X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -78.87500    	    33.62500    	    4536.938    	   6.6666670E-02
   -78.62500    	    33.62500    	    4536.938    	   0.5222223    
   -78.87500    	    33.87500    	    4536.938    	   4.1666669E-03
   -78.62500    	    33.87500    	    4536.938    	   8.8888891E-02
   -78.87500    	    33.62500    	    4537.062    	    3.441667    
   -78.62500    	    33.62500    	    4537.062    	    4.685186    
   -78.87500    	    33.87500    	    4537.062    	    2.337501    
   -78.62500    	    33.87500    	    4537.062    	    4.719444    
   -78.87500    	    33.62500    	    4537.188    	    1.263888    
   -78.62500    	    33.62500    	    4537.188    	   0.8592594    
   -78.87500    	    33.87500    	    4537.188    	    1.245834    
   -78.62500    	    33.87500    	    4537.188    	   0.4472222    
   -78.87500    	    33.62500    	    4537.312    	   0.2666667    
   -78.62500    	    33.62500    	    4537.312    	    2.029630    
   -78.87500    	    33.87500    	    4537.312    	   0.3770836    
   -78.62500    	    33.87500    	    4537.312    	   0.4222222    
   -78.87500    	    33.62500    	    4537.438    	    2.033333    
   -78.62500    	    33.62500    	    4537.438    	    4.488889    
   -78.87500    	    33.87500    	    4537.438    	   0.2958333    
   -78.62500    	    33.87500    	    4537.438    	    1.625000    
   -78.87500    	    33.62500    	    4537.562    	    5.144445    
   -78.62500    	    33.62500    	    4537.562    	    8.181481    
   -78.87500    	    33.87500    	    4537.562    	    1.160416    
   -78.62500    	    33.87500    	    4537.562    	    1.780556    
   -78.87500    	    33.62500    	    4537.688    	    2.344445    
   -78.62500    	    33.62500    	    4537.688    	    2.166667    
   -78.87500    	    33.87500    	    4537.688    	    1.725000    
   -78.62500    	    33.87500    	    4537.688    	    1.961111    
   -78.87500    	    33.62500    	    4537.812    	    2.444445    
   -78.62500    	    33.62500    	    4537.812    	    1.844445    
   -78.87500    	    33.87500    	    4537.812    	    1.733333    
   -78.62500    	    33.87500    	    4537.812    	    2.124999    
   -78.87500    	    33.62500    	    4537.938    	   5.5555557E-03
   -78.62500    	    33.62500    	    4537.938    	    1.151852    
   -78.87500    	    33.87500    	    4537.938    	   0.0000000E+00
   -78.62500    	    33.87500    	    4537.938    	   0.3416667    
