Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    29.37500    	    3834.438    	    4.110416    
    29.62500    	    3834.438    	    2.741666    
    29.37500    	    3834.562    	    4.243750    
    29.62500    	    3834.562    	    4.027778    
    29.37500    	    3834.688    	    1.618750    
    29.62500    	    3834.688    	    2.533334    
    29.37500    	    3834.812    	   0.1333333    
    29.62500    	    3834.812    	   0.1611111    
    29.37500    	    3834.938    	   1.4583334E-02
    29.62500    	    3834.938    	   0.0000000E+00
    29.37500    	    3835.062    	   1.0416667E-02
    29.62500    	    3835.062    	   0.0000000E+00
    29.37500    	    3835.188    	   0.0000000E+00
    29.62500    	    3835.188    	   0.0000000E+00
    29.37500    	    3835.312    	   0.0000000E+00
    29.62500    	    3835.312    	   0.0000000E+00
    29.37500    	    3835.438    	   0.0000000E+00
    29.62500    	    3835.438    	   0.0000000E+00
