X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -87.62500    	    30.12500    	    917.3125    	    1.629630    
   -87.37500    	    30.12500    	    917.3125    	    1.683333    
   -87.62500    	    30.37500    	    917.3125    	    1.358334    
   -87.37500    	    30.37500    	    917.3125    	    3.079167    
   -87.62500    	    30.12500    	    917.4375    	    4.007408    
   -87.37500    	    30.12500    	    917.4375    	    2.944445    
   -87.62500    	    30.37500    	    917.4375    	    4.519445    
   -87.37500    	    30.37500    	    917.4375    	    3.002085    
   -87.62500    	    30.12500    	    917.5625    	    1.240741    
   -87.37500    	    30.12500    	    917.5625    	   0.6194444    
   -87.62500    	    30.37500    	    917.5625    	   0.9416664    
   -87.37500    	    30.37500    	    917.5625    	   0.3229167    
   -87.62500    	    30.12500    	    917.6875    	   0.2740741    
   -87.37500    	    30.12500    	    917.6875    	    2.533333    
   -87.62500    	    30.37500    	    917.6875    	   0.5750000    
   -87.37500    	    30.37500    	    917.6875    	   0.5208333    
   -87.62500    	    30.12500    	    917.8125    	   8.1481487E-02
   -87.37500    	    30.12500    	    917.8125    	   1.6666668E-02
   -87.62500    	    30.37500    	    917.8125    	   0.7750002    
   -87.37500    	    30.37500    	    917.8125    	   8.7499999E-02
   -87.62500    	    30.12500    	    917.9375    	   0.0000000E+00
   -87.37500    	    30.12500    	    917.9375    	   5.5555557E-03
   -87.62500    	    30.37500    	    917.9375    	   0.0000000E+00
   -87.37500    	    30.37500    	    917.9375    	   0.1916667    
   -87.62500    	    30.12500    	    918.0625    	   0.0000000E+00
   -87.37500    	    30.12500    	    918.0625    	   0.0000000E+00
   -87.62500    	    30.37500    	    918.0625    	   0.0000000E+00
   -87.37500    	    30.37500    	    918.0625    	   0.0000000E+00
   -87.62500    	    30.12500    	    918.1875    	   9.2592612E-02
   -87.37500    	    30.12500    	    918.1875    	   3.3333339E-02
   -87.62500    	    30.37500    	    918.1875    	   1.1111111E-02
   -87.37500    	    30.37500    	    918.1875    	   5.0000008E-02
   -87.62500    	    30.12500    	    918.3125    	   1.8518519E-02
   -87.37500    	    30.12500    	    918.3125    	   0.0000000E+00
   -87.62500    	    30.37500    	    918.3125    	   0.2472222    
   -87.37500    	    30.37500    	    918.3125    	   0.1875000    
