X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -88.37500    	    2001.938    	    1.008334    
   -88.12500    	    2001.938    	   0.9500005    
   -88.37500    	    2002.062    	    1.747222    
   -88.12500    	    2002.062    	    1.194445    
   -88.37500    	    2002.188    	   0.9444444    
   -88.12500    	    2002.188    	   0.7222221    
   -88.37500    	    2002.312    	   0.9000000    
   -88.12500    	    2002.312    	   0.5055557    
   -88.37500    	    2002.438    	   0.4527777    
   -88.12500    	    2002.438    	   0.3944444    
   -88.37500    	    2002.562    	   0.9916666    
   -88.12500    	    2002.562    	    1.297222    
   -88.37500    	    2002.688    	    1.605556    
   -88.12500    	    2002.688    	    1.919445    
   -88.37500    	    2002.812    	    1.663889    
   -88.12500    	    2002.812    	    1.925001    
   -88.37500    	    2002.938    	    1.599999    
   -88.12500    	    2002.938    	    1.069444    
