Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    34.62500    	    4226.688    	   1.3888889E-02
    34.87500    	    4226.688    	   0.0000000E+00
    34.62500    	    4226.812    	    1.016667    
    34.87500    	    4226.812    	   6.1111111E-02
    34.62500    	    4226.938    	    13.13334    
    34.87500    	    4226.938    	    9.444447    
    34.62500    	    4227.062    	    1.563889    
    34.87500    	    4227.062    	    2.094444    
    34.62500    	    4227.188    	    2.152778    
    34.87500    	    4227.188    	    3.544445    
    34.62500    	    4227.312    	    1.483333    
    34.87500    	    4227.312    	    3.433333    
    34.62500    	    4227.438    	   0.0000000E+00
    34.87500    	    4227.438    	   2.2222225E-02
    34.62500    	    4227.562    	   0.0000000E+00
    34.87500    	    4227.562    	   0.0000000E+00
    34.62500    	    4227.688    	   0.0000000E+00
    34.87500    	    4227.688    	   0.0000000E+00
