X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -75.62500    	    35.62500    	    4226.812    	   0.0000000E+00
   -75.37500    	    35.62500    	    4226.812    	   0.0000000E+00
   -75.62500    	    35.87500    	    4226.812    	   0.0000000E+00
   -75.37500    	    35.87500    	    4226.812    	   0.0000000E+00
   -75.62500    	    35.62500    	    4226.938    	   8.3333338E-03
   -75.37500    	    35.62500    	    4226.938    	   1.8749999E-02
   -75.62500    	    35.87500    	    4226.938    	   0.0000000E+00
   -75.37500    	    35.87500    	    4226.938    	   0.0000000E+00
   -75.62500    	    35.62500    	    4227.062    	   0.1444445    
   -75.37500    	    35.62500    	    4227.062    	   0.3020834    
   -75.62500    	    35.87500    	    4227.062    	   3.3333335E-02
   -75.37500    	    35.87500    	    4227.062    	   9.4444454E-02
   -75.62500    	    35.62500    	    4227.188    	    3.058333    
   -75.37500    	    35.62500    	    4227.188    	    3.468750    
   -75.62500    	    35.87500    	    4227.188    	    1.085185    
   -75.37500    	    35.87500    	    4227.188    	   0.7333332    
   -75.62500    	    35.62500    	    4227.312    	   0.9472222    
   -75.37500    	    35.62500    	    4227.312    	    3.925000    
   -75.62500    	    35.87500    	    4227.312    	    3.514815    
   -75.37500    	    35.87500    	    4227.312    	    4.444445    
   -75.62500    	    35.62500    	    4227.438    	   0.5777778    
   -75.37500    	    35.62500    	    4227.438    	    2.791668    
   -75.62500    	    35.87500    	    4227.438    	    1.381482    
   -75.37500    	    35.87500    	    4227.438    	    4.158334    
   -75.62500    	    35.62500    	    4227.562    	   0.0000000E+00
   -75.37500    	    35.62500    	    4227.562    	   1.8749999E-02
   -75.62500    	    35.87500    	    4227.562    	   0.0000000E+00
   -75.37500    	    35.87500    	    4227.562    	   0.1055556    
   -75.62500    	    35.62500    	    4227.688    	   0.0000000E+00
   -75.37500    	    35.62500    	    4227.688    	   0.0000000E+00
   -75.62500    	    35.87500    	    4227.688    	   0.0000000E+00
   -75.37500    	    35.87500    	    4227.688    	   0.0000000E+00
   -75.62500    	    35.62500    	    4227.812    	   0.0000000E+00
   -75.37500    	    35.62500    	    4227.812    	   0.0000000E+00
   -75.62500    	    35.87500    	    4227.812    	   3.7037039E-03
   -75.37500    	    35.87500    	    4227.812    	   0.0000000E+00
