X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -82.87500    	    27.37500    	    1638.062    	    2.677777    
   -82.62500    	    27.37500    	    1638.062    	    2.862962    
   -82.87500    	    27.62500    	    1638.062    	    1.354167    
   -82.62500    	    27.62500    	    1638.062    	    2.116666    
   -82.87500    	    27.37500    	    1638.188    	    4.005556    
   -82.62500    	    27.37500    	    1638.188    	    1.707407    
   -82.87500    	    27.62500    	    1638.188    	    4.529168    
   -82.62500    	    27.62500    	    1638.188    	    1.697222    
   -82.87500    	    27.37500    	    1638.312    	   0.4027779    
   -82.62500    	    27.37500    	    1638.312    	   0.5074075    
   -82.87500    	    27.62500    	    1638.312    	    1.322917    
   -82.62500    	    27.62500    	    1638.312    	   0.7083334    
   -82.87500    	    27.37500    	    1638.438    	    1.513889    
   -82.62500    	    27.37500    	    1638.438    	   7.4074077E-03
   -82.87500    	    27.62500    	    1638.438    	    4.370832    
   -82.62500    	    27.62500    	    1638.438    	   0.4500000    
   -82.87500    	    27.37500    	    1638.562    	    3.030555    
   -82.62500    	    27.37500    	    1638.562    	   3.7037039E-03
   -82.87500    	    27.62500    	    1638.562    	    10.79375    
   -82.62500    	    27.62500    	    1638.562    	   0.3361111    
   -82.87500    	    27.37500    	    1638.688    	   0.0000000E+00
   -82.62500    	    27.37500    	    1638.688    	   0.0000000E+00
   -82.87500    	    27.62500    	    1638.688    	   0.1020833    
   -82.62500    	    27.62500    	    1638.688    	   1.1111111E-02
   -82.87500    	    27.37500    	    1638.812    	   0.0000000E+00
   -82.62500    	    27.37500    	    1638.812    	   0.0000000E+00
   -82.87500    	    27.62500    	    1638.812    	   0.0000000E+00
   -82.62500    	    27.62500    	    1638.812    	   0.0000000E+00
   -82.87500    	    27.37500    	    1638.938    	   0.1055556    
   -82.62500    	    27.37500    	    1638.938    	   0.0000000E+00
   -82.87500    	    27.62500    	    1638.938    	   2.7083332E-02
   -82.62500    	    27.62500    	    1638.938    	   0.0000000E+00
   -82.87500    	    27.37500    	    1639.062    	   0.2138888    
   -82.62500    	    27.37500    	    1639.062    	   6.6666678E-02
   -82.87500    	    27.62500    	    1639.062    	   0.0000000E+00
   -82.62500    	    27.62500    	    1639.062    	   0.0000000E+00
