Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    16.37500    	    3845.438    	    2.725926    
    16.62500    	    3845.438    	    2.577778    
    16.37500    	    3845.562    	    9.833335    
    16.62500    	    3845.562    	    8.566666    
    16.37500    	    3845.688    	    2.114815    
    16.62500    	    3845.688    	    3.697222    
    16.37500    	    3845.812    	    3.029630    
    16.62500    	    3845.812    	    9.033332    
    16.37500    	    3845.938    	    2.729630    
    16.62500    	    3845.938    	    3.913888    
    16.37500    	    3846.062    	   0.4000000    
    16.62500    	    3846.062    	   0.7416666    
    16.37500    	    3846.188    	   0.3888887    
    16.62500    	    3846.188    	   0.3777778    
    16.37500    	    3846.312    	   0.1740741    
    16.62500    	    3846.312    	    1.769444    
    16.37500    	    3846.438    	   0.1666667    
    16.62500    	    3846.438    	   0.8416669    
