X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -92.37500    	    6062.188    	   0.0000000E+00
   -92.12500    	    6062.188    	   0.0000000E+00
   -92.37500    	    6062.312    	   0.0000000E+00
   -92.12500    	    6062.312    	   0.0000000E+00
   -92.37500    	    6062.438    	   0.0000000E+00
   -92.12500    	    6062.438    	   0.0000000E+00
   -92.37500    	    6062.562    	   0.0000000E+00
   -92.12500    	    6062.562    	   0.0000000E+00
   -92.37500    	    6062.688    	   6.6666663E-02
   -92.12500    	    6062.688    	   7.3333330E-02
   -92.37500    	    6062.812    	   0.3300000    
   -92.12500    	    6062.812    	    3.233333    
   -92.37500    	    6062.938    	   0.4466667    
   -92.12500    	    6062.938    	    4.180000    
   -92.37500    	    6063.062    	   0.1400000    
   -92.12500    	    6063.062    	   0.0000000E+00
   -92.37500    	    6063.188    	   0.5333333    
   -92.12500    	    6063.188    	    1.126667    
