Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    21.62500    	    4257.062    	   0.0000000E+00
    21.87500    	    4257.062    	   0.0000000E+00
    21.62500    	    4257.188    	   9.7222216E-02
    21.87500    	    4257.188    	   0.2500001    
    21.62500    	    4257.312    	   1.1111111E-02
    21.87500    	    4257.312    	   1.4583334E-02
    21.62500    	    4257.438    	   0.3555555    
    21.87500    	    4257.438    	   3.9583333E-02
    21.62500    	    4257.562    	    9.425001    
    21.87500    	    4257.562    	    6.099998    
    21.62500    	    4257.688    	    9.408334    
    21.87500    	    4257.688    	    15.86875    
    21.62500    	    4257.812    	    3.772220    
    21.87500    	    4257.812    	    9.291667    
    21.62500    	    4257.938    	   0.0000000E+00
    21.87500    	    4257.938    	   0.0000000E+00
    21.62500    	    4258.062    	   0.0000000E+00
    21.87500    	    4258.062    	   0.0000000E+00
