Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    30.12500    	    3459.688    	   0.4888889    
    30.37500    	    3459.688    	   0.6638891    
    30.12500    	    3459.812    	   0.2518518    
    30.37500    	    3459.812    	   0.2111111    
    30.12500    	    3459.938    	    5.551852    
    30.37500    	    3459.938    	    5.913889    
    30.12500    	    3460.062    	   0.4000000    
    30.37500    	    3460.062    	   0.4861112    
    30.12500    	    3460.188    	   3.3333331E-02
    30.37500    	    3460.188    	   2.5000002E-02
    30.12500    	    3460.312    	   0.1185185    
    30.37500    	    3460.312    	   0.1027778    
    30.12500    	    3460.438    	   0.1111111    
    30.37500    	    3460.438    	   0.1555555    
    30.12500    	    3460.562    	   2.2222223E-02
    30.37500    	    3460.562    	   3.3333339E-02
    30.12500    	    3460.688    	   0.0000000E+00
    30.37500    	    3460.688    	   0.0000000E+00
