X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -83.62500    	    1058.062    	    7.100001    
   -83.37500    	    1058.062    	    8.411111    
   -83.62500    	    1058.188    	    4.718519    
   -83.37500    	    1058.188    	    5.691667    
   -83.62500    	    1058.312    	    3.462964    
   -83.37500    	    1058.312    	    3.775000    
   -83.62500    	    1058.438    	    6.411110    
   -83.37500    	    1058.438    	    7.977778    
   -83.62500    	    1058.562    	    6.644444    
   -83.37500    	    1058.562    	    3.713890    
   -83.62500    	    1058.688    	    1.996296    
   -83.37500    	    1058.688    	    1.152778    
   -83.62500    	    1058.812    	   0.3629629    
   -83.37500    	    1058.812    	   2.2222225E-02
   -83.62500    	    1058.938    	   1.8518519E-02
   -83.37500    	    1058.938    	   4.1666672E-02
   -83.62500    	    1059.062    	   0.0000000E+00
   -83.37500    	    1059.062    	   0.0000000E+00
