X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -96.87500    	    28.12500    	    4574.188    	   0.0000000E+00
   -96.62500    	    28.12500    	    4574.188    	   0.0000000E+00
   -96.87500    	    28.37500    	    4574.188    	   0.0000000E+00
   -96.62500    	    28.37500    	    4574.188    	   0.0000000E+00
   -96.87500    	    28.12500    	    4574.312    	   0.0000000E+00
   -96.62500    	    28.12500    	    4574.312    	   3.7499998E-02
   -96.87500    	    28.37500    	    4574.312    	   0.0000000E+00
   -96.62500    	    28.37500    	    4574.312    	   0.0000000E+00
   -96.87500    	    28.12500    	    4574.438    	   0.1388888    
   -96.62500    	    28.12500    	    4574.438    	   0.8375003    
   -96.87500    	    28.37500    	    4574.438    	   0.1666666    
   -96.62500    	    28.37500    	    4574.438    	   0.3666668    
   -96.87500    	    28.12500    	    4574.562    	   4.4444446E-02
   -96.62500    	    28.12500    	    4574.562    	   0.1791666    
   -96.87500    	    28.37500    	    4574.562    	   1.1111111E-02
   -96.62500    	    28.37500    	    4574.562    	   3.8888890E-02
   -96.87500    	    28.12500    	    4574.688    	   0.0000000E+00
   -96.62500    	    28.12500    	    4574.688    	   6.4583331E-02
   -96.87500    	    28.37500    	    4574.688    	   0.0000000E+00
   -96.62500    	    28.37500    	    4574.688    	   2.7777782E-02
   -96.87500    	    28.12500    	    4574.812    	   5.5555557E-03
   -96.62500    	    28.12500    	    4574.812    	   0.0000000E+00
   -96.87500    	    28.37500    	    4574.812    	   0.0000000E+00
   -96.62500    	    28.37500    	    4574.812    	   0.0000000E+00
   -96.87500    	    28.12500    	    4574.938    	   0.0000000E+00
   -96.62500    	    28.12500    	    4574.938    	   0.0000000E+00
   -96.87500    	    28.37500    	    4574.938    	   0.0000000E+00
   -96.62500    	    28.37500    	    4574.938    	   0.0000000E+00
   -96.87500    	    28.12500    	    4575.062    	   0.0000000E+00
   -96.62500    	    28.12500    	    4575.062    	   0.5104167    
   -96.87500    	    28.37500    	    4575.062    	   0.0000000E+00
   -96.62500    	    28.37500    	    4575.062    	   0.0000000E+00
   -96.87500    	    28.12500    	    4575.188    	   0.0000000E+00
   -96.62500    	    28.12500    	    4575.188    	    1.341666    
   -96.87500    	    28.37500    	    4575.188    	   0.0000000E+00
   -96.62500    	    28.37500    	    4575.188    	   0.0000000E+00
