X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -56.12500    	    2451.688    	   0.0000000E+00
   -55.87500    	    2451.688    	   0.0000000E+00
   -56.12500    	    2451.812    	   0.2777777    
   -55.87500    	    2451.812    	   0.1444444    
   -56.12500    	    2451.938    	    1.714815    
   -55.87500    	    2451.938    	    1.958333    
   -56.12500    	    2452.062    	    3.833334    
   -55.87500    	    2452.062    	    4.586109    
   -56.12500    	    2452.188    	   0.2555556    
   -55.87500    	    2452.188    	   0.3611112    
   -56.12500    	    2452.312    	   0.1222222    
   -55.87500    	    2452.312    	   6.9444448E-02
   -56.12500    	    2452.438    	   0.0000000E+00
   -55.87500    	    2452.438    	   0.0000000E+00
   -56.12500    	    2452.562    	   0.0000000E+00
   -55.87500    	    2452.562    	   5.5555557E-03
   -56.12500    	    2452.688    	   0.0000000E+00
   -55.87500    	    2452.688    	   0.0000000E+00
