X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -77.62500    	    23.62500    	    2784.688    	   6.4583339E-02
   -77.37500    	    23.62500    	    2784.688    	   5.5555563E-02
   -77.62500    	    23.87500    	    2784.688    	   8.6111106E-02
   -77.37500    	    23.87500    	    2784.688    	   6.2962957E-02
   -77.62500    	    23.62500    	    2784.812    	   0.6249999    
   -77.37500    	    23.62500    	    2784.812    	    1.000000    
   -77.62500    	    23.87500    	    2784.812    	   0.2444444    
   -77.37500    	    23.87500    	    2784.812    	   7.7777781E-02
   -77.62500    	    23.62500    	    2784.938    	   0.1250000    
   -77.37500    	    23.62500    	    2784.938    	   0.0000000E+00
   -77.62500    	    23.87500    	    2784.938    	   9.4444424E-02
   -77.37500    	    23.87500    	    2784.938    	   0.0000000E+00
   -77.62500    	    23.62500    	    2785.062    	   0.0000000E+00
   -77.37500    	    23.62500    	    2785.062    	   1.3888889E-02
   -77.62500    	    23.87500    	    2785.062    	   0.0000000E+00
   -77.37500    	    23.87500    	    2785.062    	   1.1111111E-02
   -77.62500    	    23.62500    	    2785.188    	   0.1229166    
   -77.37500    	    23.62500    	    2785.188    	   0.2583334    
   -77.62500    	    23.87500    	    2785.188    	   0.3277778    
   -77.37500    	    23.87500    	    2785.188    	   0.8999999    
   -77.62500    	    23.62500    	    2785.312    	   0.0000000E+00
   -77.37500    	    23.62500    	    2785.312    	   0.0000000E+00
   -77.62500    	    23.87500    	    2785.312    	   0.0000000E+00
   -77.37500    	    23.87500    	    2785.312    	   0.0000000E+00
   -77.62500    	    23.62500    	    2785.438    	   0.0000000E+00
   -77.37500    	    23.62500    	    2785.438    	   0.0000000E+00
   -77.62500    	    23.87500    	    2785.438    	   0.0000000E+00
   -77.37500    	    23.87500    	    2785.438    	   0.0000000E+00
   -77.62500    	    23.62500    	    2785.562    	   0.0000000E+00
   -77.37500    	    23.62500    	    2785.562    	   0.0000000E+00
   -77.62500    	    23.87500    	    2785.562    	   0.0000000E+00
   -77.37500    	    23.87500    	    2785.562    	   0.0000000E+00
   -77.62500    	    23.62500    	    2785.688    	   0.0000000E+00
   -77.37500    	    23.62500    	    2785.688    	   2.5000000E-02
   -77.62500    	    23.87500    	    2785.688    	   0.0000000E+00
   -77.37500    	    23.87500    	    2785.688    	   6.2962964E-02
