X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -80.37500    	    2785.062    	   3.0555556E-02
   -80.12500    	    2785.062    	   4.4444449E-02
   -80.37500    	    2785.188    	   1.3888889E-02
   -80.12500    	    2785.188    	   0.3972222    
   -80.37500    	    2785.312    	   0.6138890    
   -80.12500    	    2785.312    	   7.7777773E-02
   -80.37500    	    2785.438    	   0.4527778    
   -80.12500    	    2785.438    	    1.433333    
   -80.37500    	    2785.562    	   0.8305557    
   -80.12500    	    2785.562    	   0.9444442    
   -80.37500    	    2785.688    	   0.1527778    
   -80.12500    	    2785.688    	   0.0000000E+00
   -80.37500    	    2785.812    	   0.0000000E+00
   -80.12500    	    2785.812    	   0.0000000E+00
   -80.37500    	    2785.938    	   0.0000000E+00
   -80.12500    	    2785.938    	   0.0000000E+00
   -80.37500    	    2786.062    	   0.0000000E+00
   -80.12500    	    2786.062    	   0.0000000E+00
