X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -97.37500    	    20.62500    	    935.0625    	    3.333333    
   -97.12500    	    20.62500    	    935.0625    	   0.7458335    
   -97.37500    	    20.87500    	    935.0625    	    2.759259    
   -97.12500    	    20.87500    	    935.0625    	   0.8194445    
   -97.37500    	    20.62500    	    935.1875    	    1.450000    
   -97.12500    	    20.62500    	    935.1875    	    2.331249    
   -97.37500    	    20.87500    	    935.1875    	    1.955556    
   -97.12500    	    20.87500    	    935.1875    	    1.002778    
   -97.37500    	    20.62500    	    935.3125    	    1.927777    
   -97.12500    	    20.62500    	    935.3125    	    2.595833    
   -97.37500    	    20.87500    	    935.3125    	   0.8296297    
   -97.12500    	    20.87500    	    935.3125    	   0.9083334    
   -97.37500    	    20.62500    	    935.4375    	    3.144444    
   -97.12500    	    20.62500    	    935.4375    	    4.020833    
   -97.37500    	    20.87500    	    935.4375    	    1.155556    
   -97.12500    	    20.87500    	    935.4375    	   0.6000001    
   -97.37500    	    20.62500    	    935.5625    	    9.899999    
   -97.12500    	    20.62500    	    935.5625    	    4.635417    
   -97.37500    	    20.87500    	    935.5625    	    2.044445    
   -97.12500    	    20.87500    	    935.5625    	    2.516666    
   -97.37500    	    20.62500    	    935.6875    	   0.9750001    
   -97.12500    	    20.62500    	    935.6875    	   0.1354167    
   -97.37500    	    20.87500    	    935.6875    	    2.177777    
   -97.12500    	    20.87500    	    935.6875    	   0.5472224    
   -97.37500    	    20.62500    	    935.8125    	   1.1111111E-02
   -97.12500    	    20.62500    	    935.8125    	   0.0000000E+00
   -97.37500    	    20.87500    	    935.8125    	   0.2777778    
   -97.12500    	    20.87500    	    935.8125    	   8.8888891E-02
   -97.37500    	    20.62500    	    935.9375    	   0.0000000E+00
   -97.12500    	    20.62500    	    935.9375    	   0.0000000E+00
   -97.37500    	    20.87500    	    935.9375    	   7.4074077E-03
   -97.12500    	    20.87500    	    935.9375    	   0.0000000E+00
   -97.37500    	    20.62500    	    936.0625    	   0.0000000E+00
   -97.12500    	    20.62500    	    936.0625    	   0.0000000E+00
   -97.37500    	    20.87500    	    936.0625    	   0.0000000E+00
   -97.12500    	    20.87500    	    936.0625    	   0.0000000E+00
