X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -82.37500    	    615.3125    	    1.722222    
   -82.12500    	    615.3125    	    3.474074    
   -82.37500    	    615.4375    	   5.8333337E-02
   -82.12500    	    615.4375    	   0.3296297    
   -82.37500    	    615.5625    	   0.1111111    
   -82.12500    	    615.5625    	   0.8592593    
   -82.37500    	    615.6875    	    1.550000    
   -82.12500    	    615.6875    	    1.796296    
   -82.37500    	    615.8125    	    8.905557    
   -82.12500    	    615.8125    	    10.86296    
   -82.37500    	    615.9375    	    6.408334    
   -82.12500    	    615.9375    	    7.874075    
   -82.37500    	    616.0625    	   0.0000000E+00
   -82.12500    	    616.0625    	   0.0000000E+00
   -82.37500    	    616.1875    	   6.9444448E-02
   -82.12500    	    616.1875    	   0.0000000E+00
   -82.37500    	    616.3125    	   5.0000001E-02
   -82.12500    	    616.3125    	   0.0000000E+00
