Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    32.87500    	    616.0625    	   3.8888887E-02
    33.12500    	    616.0625    	   6.6666655E-02
    32.87500    	    616.1875    	   0.1111111    
    33.12500    	    616.1875    	   8.8888891E-02
    32.87500    	    616.3125    	    3.202778    
    33.12500    	    616.3125    	    3.322222    
    32.87500    	    616.4375    	    3.888889    
    33.12500    	    616.4375    	    7.122223    
    32.87500    	    616.5625    	    2.880556    
    33.12500    	    616.5625    	    10.38055    
    32.87500    	    616.6875    	   5.5555557E-03
    33.12500    	    616.6875    	   0.6055555    
    32.87500    	    616.8125    	   0.0000000E+00
    33.12500    	    616.8125    	   0.0000000E+00
    32.87500    	    616.9375    	   0.0000000E+00
    33.12500    	    616.9375    	   0.0000000E+00
    32.87500    	    617.0625    	   0.0000000E+00
    33.12500    	    617.0625    	   0.0000000E+00
