X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -78.87500    	    33.62500    	    616.1875    	   5.5555557E-03
   -78.62500    	    33.62500    	    616.1875    	   4.0740743E-02
   -78.87500    	    33.87500    	    616.1875    	   1.0416667E-02
   -78.62500    	    33.87500    	    616.1875    	   2.2222223E-02
   -78.87500    	    33.62500    	    616.3125    	    1.013889    
   -78.62500    	    33.62500    	    616.3125    	   0.6629630    
   -78.87500    	    33.87500    	    616.3125    	   0.7916667    
   -78.62500    	    33.87500    	    616.3125    	   0.5749999    
   -78.87500    	    33.62500    	    616.4375    	    4.958333    
   -78.62500    	    33.62500    	    616.4375    	    3.470371    
   -78.87500    	    33.87500    	    616.4375    	    4.370834    
   -78.62500    	    33.87500    	    616.4375    	    3.775000    
   -78.87500    	    33.62500    	    616.5625    	    7.505558    
   -78.62500    	    33.62500    	    616.5625    	    5.077778    
   -78.87500    	    33.87500    	    616.5625    	    13.66042    
   -78.62500    	    33.87500    	    616.5625    	    10.06667    
   -78.87500    	    33.62500    	    616.6875    	    1.633333    
   -78.62500    	    33.62500    	    616.6875    	   0.9111111    
   -78.87500    	    33.87500    	    616.6875    	    7.541665    
   -78.62500    	    33.87500    	    616.6875    	    6.194444    
   -78.87500    	    33.62500    	    616.8125    	   0.0000000E+00
   -78.62500    	    33.62500    	    616.8125    	   0.0000000E+00
   -78.87500    	    33.87500    	    616.8125    	   2.0833334E-03
   -78.62500    	    33.87500    	    616.8125    	   1.6666668E-02
   -78.87500    	    33.62500    	    616.9375    	   0.0000000E+00
   -78.62500    	    33.62500    	    616.9375    	   0.0000000E+00
   -78.87500    	    33.87500    	    616.9375    	   0.0000000E+00
   -78.62500    	    33.87500    	    616.9375    	   0.0000000E+00
   -78.87500    	    33.62500    	    617.0625    	   0.0000000E+00
   -78.62500    	    33.62500    	    617.0625    	   0.0000000E+00
   -78.87500    	    33.87500    	    617.0625    	   0.0000000E+00
   -78.62500    	    33.87500    	    617.0625    	   0.0000000E+00
   -78.87500    	    33.62500    	    617.1875    	   0.0000000E+00
   -78.62500    	    33.62500    	    617.1875    	   0.0000000E+00
   -78.87500    	    33.87500    	    617.1875    	   0.0000000E+00
   -78.62500    	    33.87500    	    617.1875    	   0.0000000E+00
