Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    29.12500    	    941.6875    	    3.418518    
    29.37500    	    941.6875    	    2.416666    
    29.12500    	    941.8125    	    2.529630    
    29.37500    	    941.8125    	    3.205556    
    29.12500    	    941.9375    	    1.181481    
    29.37500    	    941.9375    	    4.975000    
    29.12500    	    942.0625    	    8.199999    
    29.37500    	    942.0625    	    14.53055    
    29.12500    	    942.1875    	    1.248148    
    29.37500    	    942.1875    	    4.902778    
    29.12500    	    942.3125    	   0.0000000E+00
    29.37500    	    942.3125    	    2.555556    
    29.12500    	    942.4375    	   0.0000000E+00
    29.37500    	    942.4375    	   0.6722221    
    29.12500    	    942.5625    	   0.0000000E+00
    29.37500    	    942.5625    	   0.0000000E+00
    29.12500    	    942.6875    	   0.0000000E+00
    29.37500    	    942.6875    	   0.0000000E+00
