X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -93.87500    	    29.62500    	    5310.812    	    5.259260    
   -93.62500    	    29.62500    	    5310.812    	    6.830555    
   -93.87500    	    29.87500    	    5310.812    	    3.008333    
   -93.62500    	    29.87500    	    5310.812    	    4.310417    
   -93.87500    	    29.62500    	    5310.938    	    17.56667    
   -93.62500    	    29.62500    	    5310.938    	    8.300000    
   -93.87500    	    29.87500    	    5310.938    	    9.277779    
   -93.62500    	    29.87500    	    5310.938    	    10.02500    
   -93.87500    	    29.62500    	    5311.062    	    6.181482    
   -93.62500    	    29.62500    	    5311.062    	    2.219445    
   -93.87500    	    29.87500    	    5311.062    	    15.00000    
   -93.62500    	    29.87500    	    5311.062    	    5.587500    
   -93.87500    	    29.62500    	    5311.188    	    3.462963    
   -93.62500    	    29.62500    	    5311.188    	    1.194444    
   -93.87500    	    29.87500    	    5311.188    	    2.244445    
   -93.62500    	    29.87500    	    5311.188    	   0.1229167    
   -93.87500    	    29.62500    	    5311.312    	    3.977778    
   -93.62500    	    29.62500    	    5311.312    	   0.9611112    
   -93.87500    	    29.87500    	    5311.312    	   0.2000000    
   -93.62500    	    29.87500    	    5311.312    	   0.0000000E+00
   -93.87500    	    29.62500    	    5311.438    	    2.448148    
   -93.62500    	    29.62500    	    5311.438    	    1.466667    
   -93.87500    	    29.87500    	    5311.438    	   0.1250000    
   -93.62500    	    29.87500    	    5311.438    	   1.6666668E-02
   -93.87500    	    29.62500    	    5311.562    	   0.9629630    
   -93.62500    	    29.62500    	    5311.562    	    1.825000    
   -93.87500    	    29.87500    	    5311.562    	   0.1333333    
   -93.62500    	    29.87500    	    5311.562    	   0.7416667    
   -93.87500    	    29.62500    	    5311.688    	   4.4444446E-02
   -93.62500    	    29.62500    	    5311.688    	   4.4444446E-02
   -93.87500    	    29.87500    	    5311.688    	   3.8888890E-02
   -93.62500    	    29.87500    	    5311.688    	   7.9166658E-02
   -93.87500    	    29.62500    	    5311.812    	   0.0000000E+00
   -93.62500    	    29.62500    	    5311.812    	   0.0000000E+00
   -93.87500    	    29.87500    	    5311.812    	   0.0000000E+00
   -93.62500    	    29.87500    	    5311.812    	   0.0000000E+00
