Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    20.62500    	    215.9375    	   0.1624999    
    20.87500    	    215.9375    	   0.1638889    
    20.62500    	    216.0625    	   3.3333339E-02
    20.87500    	    216.0625    	   0.1333333    
    20.62500    	    216.1875    	   0.1458333    
    20.87500    	    216.1875    	   0.4444444    
    20.62500    	    216.3125    	   0.2875000    
    20.87500    	    216.3125    	   0.6722222    
    20.62500    	    216.4375    	   2.5000000E-02
    20.87500    	    216.4375    	   0.7277778    
    20.62500    	    216.5625    	   8.3333338E-03
    20.87500    	    216.5625    	    3.308333    
    20.62500    	    216.6875    	   0.0000000E+00
    20.87500    	    216.6875    	   0.2833333    
    20.62500    	    216.8125    	   0.0000000E+00
    20.87500    	    216.8125    	   0.0000000E+00
    20.62500    	    216.9375    	   0.0000000E+00
    20.87500    	    216.9375    	   0.0000000E+00
