X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -96.37500    	    28.12500    	    220.1875    	   0.0000000E+00
   -96.12500    	    28.12500    	    220.1875    	   2.5000004E-02
   -96.37500    	    28.37500    	    220.1875    	   0.0000000E+00
   -96.12500    	    28.37500    	    220.1875    	   1.1111111E-02
   -96.37500    	    28.12500    	    220.3125    	   5.8333337E-02
   -96.12500    	    28.12500    	    220.3125    	   0.2645833    
   -96.37500    	    28.37500    	    220.3125    	   2.5925927E-02
   -96.12500    	    28.37500    	    220.3125    	   0.1444444    
   -96.37500    	    28.12500    	    220.4375    	    1.169445    
   -96.12500    	    28.12500    	    220.4375    	    3.768750    
   -96.37500    	    28.37500    	    220.4375    	   0.3185185    
   -96.12500    	    28.37500    	    220.4375    	    2.288889    
   -96.37500    	    28.12500    	    220.5625    	    5.363889    
   -96.12500    	    28.12500    	    220.5625    	    6.364583    
   -96.37500    	    28.37500    	    220.5625    	    3.488889    
   -96.12500    	    28.37500    	    220.5625    	    2.866666    
   -96.37500    	    28.12500    	    220.6875    	    2.802778    
   -96.12500    	    28.12500    	    220.6875    	    1.070833    
   -96.37500    	    28.37500    	    220.6875    	    2.107408    
   -96.12500    	    28.37500    	    220.6875    	   0.6250001    
   -96.37500    	    28.12500    	    220.8125    	   0.0000000E+00
   -96.12500    	    28.12500    	    220.8125    	   0.0000000E+00
   -96.37500    	    28.37500    	    220.8125    	   0.0000000E+00
   -96.12500    	    28.37500    	    220.8125    	   5.5555557E-03
   -96.37500    	    28.12500    	    220.9375    	   0.0000000E+00
   -96.12500    	    28.12500    	    220.9375    	   0.0000000E+00
   -96.37500    	    28.37500    	    220.9375    	   0.1888889    
   -96.12500    	    28.37500    	    220.9375    	   0.1333333    
   -96.37500    	    28.12500    	    221.0625    	   0.2750000    
   -96.12500    	    28.12500    	    221.0625    	   0.1624999    
   -96.37500    	    28.37500    	    221.0625    	   0.5555555    
   -96.12500    	    28.37500    	    221.0625    	   0.5166669    
   -96.37500    	    28.12500    	    221.1875    	   3.3333339E-02
   -96.12500    	    28.12500    	    221.1875    	   6.2500001E-03
   -96.37500    	    28.37500    	    221.1875    	   3.3333335E-02
   -96.12500    	    28.37500    	    221.1875    	   3.6111116E-02
