X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -86.62500    	    2444.688    	   0.0000000E+00
   -86.37500    	    2444.688    	   0.0000000E+00
   -86.62500    	    2444.812    	   0.0000000E+00
   -86.37500    	    2444.812    	   0.0000000E+00
   -86.62500    	    2444.938    	   0.0000000E+00
   -86.37500    	    2444.938    	   0.0000000E+00
   -86.62500    	    2445.062    	   0.0000000E+00
   -86.37500    	    2445.062    	   0.0000000E+00
   -86.62500    	    2445.188    	   2.2222223E-02
   -86.37500    	    2445.188    	   0.2333333    
   -86.62500    	    2445.312    	   9.9999994E-02
   -86.37500    	    2445.312    	   0.5666665    
   -86.62500    	    2445.438    	    1.213889    
   -86.37500    	    2445.438    	   0.2708334    
   -86.62500    	    2445.562    	   0.7749999    
   -86.37500    	    2445.562    	   0.5104167    
   -86.62500    	    2445.688    	   0.1250000    
   -86.37500    	    2445.688    	   0.2458334    
