Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    29.62500    	    4930.562    	   0.1222222    
    29.87500    	    4930.562    	   5.5555563E-02
    29.62500    	    4930.688    	   0.1666667    
    29.87500    	    4930.688    	   0.1361111    
    29.62500    	    4930.812    	   0.1185185    
    29.87500    	    4930.812    	   2.7777778E-02
    29.62500    	    4930.938    	    18.46297    
    29.87500    	    4930.938    	    3.755555    
    29.62500    	    4931.062    	    4.774074    
    29.87500    	    4931.062    	    1.277778    
    29.62500    	    4931.188    	   0.0000000E+00
    29.87500    	    4931.188    	   0.0000000E+00
    29.62500    	    4931.312    	   0.0000000E+00
    29.87500    	    4931.312    	   0.0000000E+00
    29.62500    	    4931.438    	   0.0000000E+00
    29.87500    	    4931.438    	   0.0000000E+00
    29.62500    	    4931.562    	   0.0000000E+00
    29.87500    	    4931.562    	   0.0000000E+00
