Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    21.12500    	    4944.438    	    4.938889    
    21.37500    	    4944.438    	    5.148149    
    21.12500    	    4944.562    	    4.383333    
    21.37500    	    4944.562    	    6.122223    
    21.12500    	    4944.688    	    3.636111    
    21.37500    	    4944.688    	    3.600000    
    21.12500    	    4944.812    	   0.8777778    
    21.37500    	    4944.812    	    1.559259    
    21.12500    	    4944.938    	   0.4194445    
    21.37500    	    4944.938    	   0.2333333    
    21.12500    	    4945.062    	   3.0555556E-02
    21.37500    	    4945.062    	   0.0000000E+00
    21.12500    	    4945.188    	   0.0000000E+00
    21.37500    	    4945.188    	   0.1740741    
    21.12500    	    4945.312    	   0.5305555    
    21.37500    	    4945.312    	   0.2740741    
    21.12500    	    4945.438    	    1.066667    
    21.37500    	    4945.438    	    1.781481    
