X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -97.12500    	    20.37500    	    1719.188    	   5.0000008E-02
   -96.87500    	    20.37500    	    1719.188    	   0.2407408    
   -97.12500    	    20.62500    	    1719.188    	   3.7500005E-02
   -96.87500    	    20.62500    	    1719.188    	   0.2972222    
   -97.12500    	    20.37500    	    1719.312    	    15.38334    
   -96.87500    	    20.37500    	    1719.312    	    15.77778    
   -97.12500    	    20.62500    	    1719.312    	    9.708337    
   -96.87500    	    20.62500    	    1719.312    	    9.355563    
   -97.12500    	    20.37500    	    1719.438    	    4.397223    
   -96.87500    	    20.37500    	    1719.438    	    2.133333    
   -97.12500    	    20.62500    	    1719.438    	    2.208334    
   -96.87500    	    20.62500    	    1719.438    	    1.700000    
   -97.12500    	    20.37500    	    1719.562    	    4.511111    
   -96.87500    	    20.37500    	    1719.562    	    7.303705    
   -97.12500    	    20.62500    	    1719.562    	    3.043750    
   -96.87500    	    20.62500    	    1719.562    	    6.572223    
   -97.12500    	    20.37500    	    1719.688    	    5.205556    
   -96.87500    	    20.37500    	    1719.688    	    5.385184    
   -97.12500    	    20.62500    	    1719.688    	    14.95417    
   -96.87500    	    20.62500    	    1719.688    	    12.31945    
   -97.12500    	    20.37500    	    1719.812    	   0.9638891    
   -96.87500    	    20.37500    	    1719.812    	    1.444444    
   -97.12500    	    20.62500    	    1719.812    	    1.035417    
   -96.87500    	    20.62500    	    1719.812    	    2.416667    
   -97.12500    	    20.37500    	    1719.938    	   0.2611111    
   -96.87500    	    20.37500    	    1719.938    	   0.3666667    
   -97.12500    	    20.62500    	    1719.938    	   0.0000000E+00
   -96.87500    	    20.62500    	    1719.938    	   7.7777781E-02
   -97.12500    	    20.37500    	    1720.062    	   0.1333333    
   -96.87500    	    20.37500    	    1720.062    	   0.0000000E+00
   -97.12500    	    20.62500    	    1720.062    	   0.0000000E+00
   -96.87500    	    20.62500    	    1720.062    	   0.0000000E+00
   -97.12500    	    20.37500    	    1720.188    	   0.1111111    
   -96.87500    	    20.37500    	    1720.188    	   0.1740741    
   -97.12500    	    20.62500    	    1720.188    	   0.0000000E+00
   -96.87500    	    20.62500    	    1720.188    	   1.1111111E-02
