X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -83.37500    	    29.12500    	    3489.438    	   0.1750000    
   -83.12500    	    29.12500    	    3489.438    	   3.3333335E-02
   -83.37500    	    29.37500    	    3489.438    	   3.7500001E-02
   -83.12500    	    29.37500    	    3489.438    	   0.1194444    
   -83.37500    	    29.12500    	    3489.562    	   0.1194444    
   -83.12500    	    29.12500    	    3489.562    	   3.7037039E-03
   -83.37500    	    29.37500    	    3489.562    	   1.8749999E-02
   -83.12500    	    29.37500    	    3489.562    	   0.0000000E+00
   -83.37500    	    29.12500    	    3489.688    	   3.0555559E-02
   -83.12500    	    29.12500    	    3489.688    	   0.0000000E+00
   -83.37500    	    29.37500    	    3489.688    	   2.5000000E-02
   -83.12500    	    29.37500    	    3489.688    	   0.0000000E+00
   -83.37500    	    29.12500    	    3489.812    	   5.5555556E-02
   -83.12500    	    29.12500    	    3489.812    	   0.0000000E+00
   -83.37500    	    29.37500    	    3489.812    	   2.9166669E-02
   -83.12500    	    29.37500    	    3489.812    	   0.0000000E+00
   -83.37500    	    29.12500    	    3489.938    	   0.0000000E+00
   -83.12500    	    29.12500    	    3489.938    	   0.0000000E+00
   -83.37500    	    29.37500    	    3489.938    	   0.0000000E+00
   -83.12500    	    29.37500    	    3489.938    	   0.0000000E+00
   -83.37500    	    29.12500    	    3490.062    	   0.1833333    
   -83.12500    	    29.12500    	    3490.062    	   0.0000000E+00
   -83.37500    	    29.37500    	    3490.062    	   1.2500000E-02
   -83.12500    	    29.37500    	    3490.062    	   0.0000000E+00
   -83.37500    	    29.12500    	    3490.188    	   8.0555558E-02
   -83.12500    	    29.12500    	    3490.188    	   5.9259266E-02
   -83.37500    	    29.37500    	    3490.188    	   0.0000000E+00
   -83.12500    	    29.37500    	    3490.188    	   0.0000000E+00
   -83.37500    	    29.12500    	    3490.312    	   0.0000000E+00
   -83.12500    	    29.12500    	    3490.312    	   0.0000000E+00
   -83.37500    	    29.37500    	    3490.312    	   0.0000000E+00
   -83.12500    	    29.37500    	    3490.312    	   0.0000000E+00
   -83.37500    	    29.12500    	    3490.438    	   0.0000000E+00
   -83.12500    	    29.12500    	    3490.438    	   0.0000000E+00
   -83.37500    	    29.37500    	    3490.438    	   0.0000000E+00
   -83.12500    	    29.37500    	    3490.438    	   0.0000000E+00
