X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -80.87500    	    944.3125    	   3.7037041E-02
   -80.62500    	    944.3125    	   1.6666668E-02
   -80.87500    	    944.4375    	   0.0000000E+00
   -80.62500    	    944.4375    	   5.5555557E-03
   -80.87500    	    944.5625    	   2.2222223E-02
   -80.62500    	    944.5625    	   0.3055556    
   -80.87500    	    944.6875    	    5.311112    
   -80.62500    	    944.6875    	    7.288887    
   -80.87500    	    944.8125    	    9.022223    
   -80.62500    	    944.8125    	    12.40278    
   -80.87500    	    944.9375    	    2.414815    
   -80.62500    	    944.9375    	    4.794445    
   -80.87500    	    945.0625    	    4.314816    
   -80.62500    	    945.0625    	    3.855556    
   -80.87500    	    945.1875    	    1.937037    
   -80.62500    	    945.1875    	    5.205556    
   -80.87500    	    945.3125    	   0.7555556    
   -80.62500    	    945.3125    	    4.916666    
