X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -97.37500    	    2055.312    	    1.113889    
   -97.12500    	    2055.312    	    2.810417    
   -97.37500    	    2055.438    	    5.516665    
   -97.12500    	    2055.438    	    9.333330    
   -97.37500    	    2055.562    	    4.488890    
   -97.12500    	    2055.562    	    3.514583    
   -97.37500    	    2055.688    	    3.863890    
   -97.12500    	    2055.688    	    1.927083    
   -97.37500    	    2055.812    	    1.241667    
   -97.12500    	    2055.812    	   0.5458334    
   -97.37500    	    2055.938    	   0.7583330    
   -97.12500    	    2055.938    	   0.3666667    
   -97.37500    	    2056.062    	   0.6027780    
   -97.12500    	    2056.062    	   0.2270834    
   -97.37500    	    2056.188    	   0.3250000    
   -97.12500    	    2056.188    	   3.7500001E-02
   -97.37500    	    2056.312    	    1.047222    
   -97.12500    	    2056.312    	   6.8750001E-02
