X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -97.87500    	    21.87500    	    4287.688    	   0.1138889    
   -97.62500    	    21.87500    	    4287.688    	   0.1687500    
   -97.87500    	    22.12500    	    4287.688    	   0.5370370    
   -97.62500    	    22.12500    	    4287.688    	   0.7499999    
   -97.87500    	    21.87500    	    4287.812    	    14.07222    
   -97.62500    	    21.87500    	    4287.812    	    24.35416    
   -97.87500    	    22.12500    	    4287.812    	    12.00740    
   -97.62500    	    22.12500    	    4287.812    	    18.92222    
   -97.87500    	    21.87500    	    4287.938    	    13.00000    
   -97.62500    	    21.87500    	    4287.938    	    10.52708    
   -97.87500    	    22.12500    	    4287.938    	    5.081481    
   -97.62500    	    22.12500    	    4287.938    	    4.283333    
   -97.87500    	    21.87500    	    4288.062    	   0.2027778    
   -97.62500    	    21.87500    	    4288.062    	   0.1604167    
   -97.87500    	    22.12500    	    4288.062    	   8.1481472E-02
   -97.62500    	    22.12500    	    4288.062    	   0.2583333    
   -97.87500    	    21.87500    	    4288.188    	   0.7638890    
   -97.62500    	    21.87500    	    4288.188    	    2.058333    
   -97.87500    	    22.12500    	    4288.188    	   0.4888889    
   -97.62500    	    22.12500    	    4288.188    	    1.377778    
   -97.87500    	    21.87500    	    4288.312    	    1.402778    
   -97.62500    	    21.87500    	    4288.312    	    1.018749    
   -97.87500    	    22.12500    	    4288.312    	   0.5296299    
   -97.62500    	    22.12500    	    4288.312    	   0.4194446    
   -97.87500    	    21.87500    	    4288.438    	   5.0000001E-02
   -97.62500    	    21.87500    	    4288.438    	   0.0000000E+00
   -97.87500    	    22.12500    	    4288.438    	   0.4148148    
   -97.62500    	    22.12500    	    4288.438    	   0.0000000E+00
   -97.87500    	    21.87500    	    4288.562    	    1.825000    
   -97.62500    	    21.87500    	    4288.562    	    1.837500    
   -97.87500    	    22.12500    	    4288.562    	    1.370370    
   -97.62500    	    22.12500    	    4288.562    	    4.144444    
   -97.87500    	    21.87500    	    4288.688    	    5.177776    
   -97.62500    	    21.87500    	    4288.688    	    2.331250    
   -97.87500    	    22.12500    	    4288.688    	    11.47778    
   -97.62500    	    22.12500    	    4288.688    	    7.233335    
