Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    27.12500    	    3156.562    	   0.0000000E+00
    27.37500    	    3156.562    	   0.0000000E+00
    27.12500    	    3156.688    	   0.0000000E+00
    27.37500    	    3156.688    	   0.0000000E+00
    27.12500    	    3156.812    	   1.1111111E-02
    27.37500    	    3156.812    	   0.0000000E+00
    27.12500    	    3156.938    	   0.1407408    
    27.37500    	    3156.938    	   0.1222222    
    27.12500    	    3157.062    	   0.0000000E+00
    27.37500    	    3157.062    	   0.0000000E+00
    27.12500    	    3157.188    	   0.0000000E+00
    27.37500    	    3157.188    	   0.0000000E+00
    27.12500    	    3157.312    	   3.7037039E-03
    27.37500    	    3157.312    	   0.0000000E+00
    27.12500    	    3157.438    	   0.0000000E+00
    27.37500    	    3157.438    	   0.0000000E+00
    27.12500    	    3157.562    	   0.0000000E+00
    27.37500    	    3157.562    	   0.0000000E+00
