Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    17.62500    	    6108.188    	   7.6666661E-02
    17.87500    	    6108.188    	   0.3700000    
    17.62500    	    6108.312    	   1.3333333E-02
    17.87500    	    6108.312    	   7.3333330E-02
    17.62500    	    6108.438    	    4.036666    
    17.87500    	    6108.438    	    2.776667    
    17.62500    	    6108.562    	    6.086666    
    17.87500    	    6108.562    	    8.183333    
    17.62500    	    6108.688    	    5.913332    
    17.87500    	    6108.688    	    5.773333    
    17.62500    	    6108.812    	    6.039999    
    17.87500    	    6108.812    	    3.240000    
    17.62500    	    6108.938    	    1.950000    
    17.87500    	    6108.938    	    1.816667    
    17.62500    	    6109.062    	   0.1200000    
    17.87500    	    6109.062    	   0.1766667    
    17.62500    	    6109.188    	   8.6666666E-02
    17.87500    	    6109.188    	   0.6533334    
