X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -77.12500    	    26.37500    	    6112.188    	   1.6666666E-02
   -76.87500    	    26.37500    	    6112.188    	   0.1600000    
   -77.12500    	    26.62500    	    6112.188    	   4.3333333E-02
   -76.87500    	    26.62500    	    6112.188    	   0.2066667    
   -77.12500    	    26.37500    	    6112.312    	   0.3000000    
   -76.87500    	    26.37500    	    6112.312    	   0.3900000    
   -77.12500    	    26.62500    	    6112.312    	   0.3433333    
   -76.87500    	    26.62500    	    6112.312    	   0.4200000    
   -77.12500    	    26.37500    	    6112.438    	    1.080000    
   -76.87500    	    26.37500    	    6112.438    	    5.236667    
   -77.12500    	    26.62500    	    6112.438    	    1.390000    
   -76.87500    	    26.62500    	    6112.438    	    5.970000    
   -77.12500    	    26.37500    	    6112.562    	    11.05000    
   -76.87500    	    26.37500    	    6112.562    	    15.11333    
   -77.12500    	    26.62500    	    6112.562    	    10.21000    
   -76.87500    	    26.62500    	    6112.562    	    13.44333    
   -77.12500    	    26.37500    	    6112.688    	    20.68667    
   -76.87500    	    26.37500    	    6112.688    	    18.76667    
   -77.12500    	    26.62500    	    6112.688    	    14.51667    
   -76.87500    	    26.62500    	    6112.688    	    15.09667    
   -77.12500    	    26.37500    	    6112.812    	    11.00667    
   -76.87500    	    26.37500    	    6112.812    	    9.156667    
   -77.12500    	    26.62500    	    6112.812    	    12.59333    
   -76.87500    	    26.62500    	    6112.812    	    9.683333    
   -77.12500    	    26.37500    	    6112.938    	    10.02667    
   -76.87500    	    26.37500    	    6112.938    	    6.653333    
   -77.12500    	    26.62500    	    6112.938    	    12.42000    
   -76.87500    	    26.62500    	    6112.938    	    10.45333    
   -77.12500    	    26.37500    	    6113.062    	    7.996666    
   -76.87500    	    26.37500    	    6113.062    	    7.013334    
   -77.12500    	    26.62500    	    6113.062    	    11.68000    
   -76.87500    	    26.62500    	    6113.062    	    8.806666    
   -77.12500    	    26.37500    	    6113.188    	    7.986666    
   -76.87500    	    26.37500    	    6113.188    	    9.810000    
   -77.12500    	    26.62500    	    6113.188    	    13.24333    
   -76.87500    	    26.62500    	    6113.188    	    8.960000    
