X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -77.87500    	    6112.562    	   0.3033333    
   -77.62500    	    6112.562    	    1.350000    
   -77.87500    	    6112.688    	    2.210000    
   -77.62500    	    6112.688    	    6.396666    
   -77.87500    	    6112.812    	    5.106667    
   -77.62500    	    6112.812    	    10.97333    
   -77.87500    	    6112.938    	    10.67333    
   -77.62500    	    6112.938    	    8.113334    
   -77.87500    	    6113.062    	    11.66667    
   -77.62500    	    6113.062    	    11.28667    
   -77.87500    	    6113.188    	    17.49667    
   -77.62500    	    6113.188    	    16.93333    
   -77.87500    	    6113.312    	    19.89333    
   -77.62500    	    6113.312    	    15.57333    
   -77.87500    	    6113.438    	    16.11333    
   -77.62500    	    6113.438    	    17.12667    
   -77.87500    	    6113.562    	    15.96000    
   -77.62500    	    6113.562    	    11.93000    
