X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -87.87500    	    4988.688    	    1.825000    
   -87.62500    	    4988.688    	    2.374074    
   -87.87500    	    4988.812    	   0.8694444    
   -87.62500    	    4988.812    	    1.200000    
   -87.87500    	    4988.938    	    2.055556    
   -87.62500    	    4988.938    	    2.237037    
   -87.87500    	    4989.062    	    8.297222    
   -87.62500    	    4989.062    	    7.588889    
   -87.87500    	    4989.188    	    5.777779    
   -87.62500    	    4989.188    	    4.062963    
   -87.87500    	    4989.312    	    6.133333    
   -87.62500    	    4989.312    	    4.425926    
   -87.87500    	    4989.438    	    2.025000    
   -87.62500    	    4989.438    	    2.018519    
   -87.87500    	    4989.562    	   0.1027778    
   -87.62500    	    4989.562    	   0.3740741    
   -87.87500    	    4989.688    	   8.3333338E-03
   -87.62500    	    4989.688    	   3.7037039E-03
