X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -64.62500    	    44.12500    	    2828.188    	   0.0000000E+00
   -64.37500    	    44.12500    	    2828.188    	   0.0000000E+00
   -64.62500    	    44.37500    	    2828.188    	   0.0000000E+00
   -64.37500    	    44.37500    	    2828.188    	   0.0000000E+00
   -64.62500    	    44.12500    	    2828.312    	   0.0000000E+00
   -64.37500    	    44.12500    	    2828.312    	   0.0000000E+00
   -64.62500    	    44.37500    	    2828.312    	   0.0000000E+00
   -64.37500    	    44.37500    	    2828.312    	   0.0000000E+00
   -64.62500    	    44.12500    	    2828.438    	    2.133333    
   -64.37500    	    44.12500    	    2828.438    	    1.720833    
   -64.62500    	    44.37500    	    2828.438    	    1.277778    
   -64.37500    	    44.37500    	    2828.438    	   0.9777778    
   -64.62500    	    44.12500    	    2828.562    	    1.625000    
   -64.37500    	    44.12500    	    2828.562    	    1.587500    
   -64.62500    	    44.37500    	    2828.562    	    2.859258    
   -64.37500    	    44.37500    	    2828.562    	    2.880554    
   -64.62500    	    44.12500    	    2828.688    	   0.0000000E+00
   -64.37500    	    44.12500    	    2828.688    	   0.0000000E+00
   -64.62500    	    44.37500    	    2828.688    	   0.0000000E+00
   -64.37500    	    44.37500    	    2828.688    	   0.0000000E+00
   -64.62500    	    44.12500    	    2828.812    	   0.0000000E+00
   -64.37500    	    44.12500    	    2828.812    	   0.0000000E+00
   -64.62500    	    44.37500    	    2828.812    	   0.0000000E+00
   -64.37500    	    44.37500    	    2828.812    	   0.0000000E+00
   -64.62500    	    44.12500    	    2828.938    	   0.0000000E+00
   -64.37500    	    44.12500    	    2828.938    	   0.0000000E+00
   -64.62500    	    44.37500    	    2828.938    	   0.0000000E+00
   -64.37500    	    44.37500    	    2828.938    	   0.0000000E+00
   -64.62500    	    44.12500    	    2829.062    	   0.0000000E+00
   -64.37500    	    44.12500    	    2829.062    	   0.0000000E+00
   -64.62500    	    44.37500    	    2829.062    	   0.0000000E+00
   -64.37500    	    44.37500    	    2829.062    	   0.0000000E+00
   -64.62500    	    44.12500    	    2829.188    	   0.0000000E+00
   -64.37500    	    44.12500    	    2829.188    	   0.0000000E+00
   -64.62500    	    44.37500    	    2829.188    	   0.0000000E+00
   -64.37500    	    44.37500    	    2829.188    	   0.0000000E+00
