X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -94.37500    	    2068.062    	   0.0000000E+00
   -94.12500    	    2068.062    	   0.0000000E+00
   -94.37500    	    2068.188    	   0.0000000E+00
   -94.12500    	    2068.188    	   0.0000000E+00
   -94.37500    	    2068.312    	   0.2138889    
   -94.12500    	    2068.312    	   0.3888889    
   -94.37500    	    2068.438    	    5.355556    
   -94.12500    	    2068.438    	    6.899999    
   -94.37500    	    2068.562    	    4.891665    
   -94.12500    	    2068.562    	    2.244444    
   -94.37500    	    2068.688    	    1.127778    
   -94.12500    	    2068.688    	   0.4666666    
   -94.37500    	    2068.812    	    2.500000    
   -94.12500    	    2068.812    	    1.444444    
   -94.37500    	    2068.938    	   0.4222223    
   -94.12500    	    2068.938    	   0.5814815    
   -94.37500    	    2069.062    	   2.2222223E-02
   -94.12500    	    2069.062    	   0.1518518    
