Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    22.12500    	    3926.312    	    4.792593    
    22.37500    	    3926.312    	    4.922221    
    22.12500    	    3926.438    	    3.781482    
    22.37500    	    3926.438    	    2.680554    
    22.12500    	    3926.562    	    2.225926    
    22.37500    	    3926.562    	    1.400000    
    22.12500    	    3926.688    	    3.107408    
    22.37500    	    3926.688    	    2.305555    
    22.12500    	    3926.812    	    2.085185    
    22.37500    	    3926.812    	    1.897222    
    22.12500    	    3926.938    	   0.3888889    
    22.37500    	    3926.938    	   0.2805556    
    22.12500    	    3927.062    	   0.0000000E+00
    22.37500    	    3927.062    	   2.2222225E-02
    22.12500    	    3927.188    	   1.8518519E-02
    22.37500    	    3927.188    	   0.6472223    
    22.12500    	    3927.312    	   0.2148148    
    22.37500    	    3927.312    	    2.405557    
