Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    24.62500    	    956.0625    	    2.097917    
    24.87500    	    956.0625    	   0.8750000    
    24.62500    	    956.1875    	    1.033333    
    24.87500    	    956.1875    	    1.444445    
    24.62500    	    956.3125    	    3.800001    
    24.87500    	    956.3125    	    4.255556    
    24.62500    	    956.4375    	    2.060416    
    24.87500    	    956.4375    	   0.7166666    
    24.62500    	    956.5625    	    5.981250    
    24.87500    	    956.5625    	    5.686110    
    24.62500    	    956.6875    	    6.285417    
    24.87500    	    956.6875    	    4.163889    
    24.62500    	    956.8125    	    4.377083    
    24.87500    	    956.8125    	    3.255556    
    24.62500    	    956.9375    	   0.4145834    
    24.87500    	    956.9375    	   0.1416667    
    24.62500    	    957.0625    	   2.0833334E-03
    24.87500    	    957.0625    	   0.0000000E+00
