X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -82.87500    	    27.37500    	    5350.062    	    2.869445    
   -82.62500    	    27.37500    	    5350.062    	    4.400000    
   -82.87500    	    27.62500    	    5350.062    	    1.402083    
   -82.62500    	    27.62500    	    5350.062    	    1.291667    
   -82.87500    	    27.37500    	    5350.188    	    3.905556    
   -82.62500    	    27.37500    	    5350.188    	    5.000000    
   -82.87500    	    27.62500    	    5350.188    	    1.293750    
   -82.62500    	    27.62500    	    5350.188    	    1.402778    
   -82.87500    	    27.37500    	    5350.312    	    2.433334    
   -82.62500    	    27.37500    	    5350.312    	    3.081482    
   -82.87500    	    27.62500    	    5350.312    	    3.308333    
   -82.62500    	    27.62500    	    5350.312    	   0.4500000    
   -82.87500    	    27.37500    	    5350.438    	    8.419445    
   -82.62500    	    27.37500    	    5350.438    	    13.00741    
   -82.87500    	    27.62500    	    5350.438    	    9.085417    
   -82.62500    	    27.62500    	    5350.438    	    3.947222    
   -82.87500    	    27.37500    	    5350.562    	    3.097222    
   -82.62500    	    27.37500    	    5350.562    	    10.81852    
   -82.87500    	    27.62500    	    5350.562    	    6.514582    
   -82.62500    	    27.62500    	    5350.562    	    18.11389    
   -82.87500    	    27.37500    	    5350.688    	    1.819444    
   -82.62500    	    27.37500    	    5350.688    	    6.537037    
   -82.87500    	    27.62500    	    5350.688    	    1.437500    
   -82.62500    	    27.62500    	    5350.688    	    6.552778    
   -82.87500    	    27.37500    	    5350.812    	   2.2222223E-02
   -82.62500    	    27.37500    	    5350.812    	    1.159259    
   -82.87500    	    27.62500    	    5350.812    	   8.3333336E-02
   -82.62500    	    27.62500    	    5350.812    	   0.8888890    
   -82.87500    	    27.37500    	    5350.938    	   5.5555557E-03
   -82.62500    	    27.37500    	    5350.938    	   0.0000000E+00
   -82.87500    	    27.62500    	    5350.938    	   0.0000000E+00
   -82.62500    	    27.62500    	    5350.938    	   0.0000000E+00
   -82.87500    	    27.37500    	    5351.062    	   0.0000000E+00
   -82.62500    	    27.37500    	    5351.062    	   0.0000000E+00
   -82.87500    	    27.62500    	    5351.062    	   0.0000000E+00
   -82.62500    	    27.62500    	    5351.062    	   0.0000000E+00
