X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -61.37500    	    16.12500    	    2461.312    	   0.0000000E+00
   -61.12500    	    16.12500    	    2461.312    	   0.0000000E+00
   -61.37500    	    16.37500    	    2461.312    	   0.0000000E+00
   -61.12500    	    16.37500    	    2461.312    	   0.0000000E+00
   -61.37500    	    16.12500    	    2461.438    	   0.0000000E+00
   -61.12500    	    16.12500    	    2461.438    	   0.0000000E+00
   -61.37500    	    16.37500    	    2461.438    	   0.0000000E+00
   -61.12500    	    16.37500    	    2461.438    	   0.0000000E+00
   -61.37500    	    16.12500    	    2461.562    	   0.0000000E+00
   -61.12500    	    16.12500    	    2461.562    	   0.0000000E+00
   -61.37500    	    16.37500    	    2461.562    	   0.0000000E+00
   -61.12500    	    16.37500    	    2461.562    	   0.0000000E+00
   -61.37500    	    16.12500    	    2461.688    	   0.0000000E+00
   -61.12500    	    16.12500    	    2461.688    	   4.1666669E-03
   -61.37500    	    16.37500    	    2461.688    	   0.0000000E+00
   -61.12500    	    16.37500    	    2461.688    	   0.0000000E+00
   -61.37500    	    16.12500    	    2461.812    	   0.0000000E+00
   -61.12500    	    16.12500    	    2461.812    	   0.0000000E+00
   -61.37500    	    16.37500    	    2461.812    	   0.0000000E+00
   -61.12500    	    16.37500    	    2461.812    	   0.0000000E+00
   -61.37500    	    16.12500    	    2461.938    	   0.7222223    
   -61.12500    	    16.12500    	    2461.938    	   0.1916667    
   -61.37500    	    16.37500    	    2461.938    	   0.0000000E+00
   -61.12500    	    16.37500    	    2461.938    	   0.2166666    
   -61.37500    	    16.12500    	    2462.062    	   0.2916667    
   -61.12500    	    16.12500    	    2462.062    	   7.0833340E-02
   -61.37500    	    16.37500    	    2462.062    	   4.8148151E-02
   -61.12500    	    16.37500    	    2462.062    	   0.4000000    
   -61.37500    	    16.12500    	    2462.188    	    4.566666    
   -61.12500    	    16.12500    	    2462.188    	    2.627083    
   -61.37500    	    16.37500    	    2462.188    	    1.333333    
   -61.12500    	    16.37500    	    2462.188    	    1.950000    
   -61.37500    	    16.12500    	    2462.312    	    4.988890    
   -61.12500    	    16.12500    	    2462.312    	    4.583333    
   -61.37500    	    16.37500    	    2462.312    	    10.78519    
   -61.12500    	    16.37500    	    2462.312    	    14.43333    
