Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    25.12500    	    251.9375    	   3.7037039E-03
    25.37500    	    251.9375    	   0.0000000E+00
    25.12500    	    252.0625    	   0.1555555    
    25.37500    	    252.0625    	   0.1500000    
    25.12500    	    252.1875    	   2.5925927E-02
    25.37500    	    252.1875    	   8.8888906E-02
    25.12500    	    252.3125    	    3.051852    
    25.37500    	    252.3125    	    2.822222    
    25.12500    	    252.4375    	    5.900000    
    25.37500    	    252.4375    	    7.702779    
    25.12500    	    252.5625    	   0.7333333    
    25.37500    	    252.5625    	    2.888889    
    25.12500    	    252.6875    	   7.4074077E-03
    25.37500    	    252.6875    	   0.0000000E+00
    25.12500    	    252.8125    	   0.0000000E+00
    25.37500    	    252.8125    	   0.0000000E+00
    25.12500    	    252.9375    	   0.0000000E+00
    25.37500    	    252.9375    	   0.0000000E+00
