Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    27.87500    	    1712.938    	   0.1333333    
    28.12500    	    1712.938    	   0.2111110    
    27.87500    	    1713.062    	   2.2222223E-02
    28.12500    	    1713.062    	   3.0555556E-02
    27.87500    	    1713.188    	   0.3444444    
    28.12500    	    1713.188    	    2.888888    
    27.87500    	    1713.312    	    9.459258    
    28.12500    	    1713.312    	    12.18611    
    27.87500    	    1713.438    	    11.16667    
    28.12500    	    1713.438    	    24.53889    
    27.87500    	    1713.562    	   0.3074074    
    28.12500    	    1713.562    	   0.8749999    
    27.87500    	    1713.688    	   0.0000000E+00
    28.12500    	    1713.688    	   0.0000000E+00
    27.87500    	    1713.812    	   0.0000000E+00
    28.12500    	    1713.812    	   0.0000000E+00
    27.87500    	    1713.938    	   0.0000000E+00
    28.12500    	    1713.938    	   0.0000000E+00
