Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    18.12500    	    3533.188    	    2.677778    
    18.37500    	    3533.188    	    5.777778    
    18.12500    	    3533.312    	    2.311111    
    18.37500    	    3533.312    	    1.191667    
    18.12500    	    3533.438    	   0.7222221    
    18.37500    	    3533.438    	   0.6944449    
    18.12500    	    3533.562    	    1.255556    
    18.37500    	    3533.562    	   0.5472223    
    18.12500    	    3533.688    	    6.792593    
    18.37500    	    3533.688    	    2.977778    
    18.12500    	    3533.812    	    1.925925    
    18.37500    	    3533.812    	    1.502777    
    18.12500    	    3533.938    	   0.4000001    
    18.37500    	    3533.938    	   0.3833334    
    18.12500    	    3534.062    	   4.4444446E-02
    18.37500    	    3534.062    	   1.6666668E-02
    18.12500    	    3534.188    	   0.5518519    
    18.37500    	    3534.188    	   6.6666670E-02
