X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -75.62500    	    1359.938    	   2.2222223E-02
   -75.37500    	    1359.938    	   2.7777778E-03
   -75.62500    	    1360.062    	   1.8518519E-02
   -75.37500    	    1360.062    	   0.0000000E+00
   -75.62500    	    1360.188    	   0.0000000E+00
   -75.37500    	    1360.188    	   2.5000002E-02
   -75.62500    	    1360.312    	   0.4222222    
   -75.37500    	    1360.312    	    2.866667    
   -75.62500    	    1360.438    	    3.507407    
   -75.37500    	    1360.438    	    10.73611    
   -75.62500    	    1360.562    	    4.722222    
   -75.37500    	    1360.562    	    11.28056    
   -75.62500    	    1360.688    	   0.6518520    
   -75.37500    	    1360.688    	    2.277778    
   -75.62500    	    1360.812    	    2.725925    
   -75.37500    	    1360.812    	    4.908334    
   -75.62500    	    1360.938    	    2.677778    
   -75.37500    	    1360.938    	    3.858334    
