X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -80.87500    	    25.12500    	    1361.688    	    1.922223    
   -80.62500    	    25.12500    	    1361.688    	    2.594445    
   -80.87500    	    25.37500    	    1361.688    	    1.088889    
   -80.62500    	    25.37500    	    1361.688    	    1.620833    
   -80.87500    	    25.12500    	    1361.812    	    7.592593    
   -80.62500    	    25.12500    	    1361.812    	    7.197224    
   -80.87500    	    25.37500    	    1361.812    	    4.369446    
   -80.62500    	    25.37500    	    1361.812    	    3.385418    
   -80.87500    	    25.12500    	    1361.938    	    4.762963    
   -80.62500    	    25.12500    	    1361.938    	    3.666666    
   -80.87500    	    25.37500    	    1361.938    	    7.127777    
   -80.62500    	    25.37500    	    1361.938    	    7.987500    
   -80.87500    	    25.12500    	    1362.062    	    1.477777    
   -80.62500    	    25.12500    	    1362.062    	   0.7861111    
   -80.87500    	    25.37500    	    1362.062    	    2.075000    
   -80.62500    	    25.37500    	    1362.062    	    2.597915    
   -80.87500    	    25.12500    	    1362.188    	   0.4296297    
   -80.62500    	    25.12500    	    1362.188    	   2.7777778E-03
   -80.87500    	    25.37500    	    1362.188    	   4.4444449E-02
   -80.62500    	    25.37500    	    1362.188    	   0.0000000E+00
   -80.87500    	    25.12500    	    1362.312    	    5.203704    
   -80.62500    	    25.12500    	    1362.312    	    3.202777    
   -80.87500    	    25.37500    	    1362.312    	    5.022223    
   -80.62500    	    25.37500    	    1362.312    	    1.100000    
   -80.87500    	    25.12500    	    1362.438    	    2.633333    
   -80.62500    	    25.12500    	    1362.438    	   0.3027777    
   -80.87500    	    25.37500    	    1362.438    	    5.833333    
   -80.62500    	    25.37500    	    1362.438    	   0.5937502    
   -80.87500    	    25.12500    	    1362.562    	    1.411111    
   -80.62500    	    25.12500    	    1362.562    	    1.069445    
   -80.87500    	    25.37500    	    1362.562    	    1.969445    
   -80.62500    	    25.37500    	    1362.562    	   0.8166667    
   -80.87500    	    25.12500    	    1362.688    	   0.9185188    
   -80.62500    	    25.12500    	    1362.688    	   0.7750001    
   -80.87500    	    25.37500    	    1362.688    	   0.9138889    
   -80.62500    	    25.37500    	    1362.688    	   0.5354168    
