X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -80.87500    	    2080.812    	   0.0000000E+00
   -80.62500    	    2080.812    	   0.0000000E+00
   -80.87500    	    2080.938    	   0.0000000E+00
   -80.62500    	    2080.938    	   0.1083334    
   -80.87500    	    2081.062    	   2.9629631E-02
   -80.62500    	    2081.062    	   0.5833332    
   -80.87500    	    2081.188    	   0.2555555    
   -80.62500    	    2081.188    	    1.611112    
   -80.87500    	    2081.312    	   0.1555555    
   -80.62500    	    2081.312    	    1.638889    
   -80.87500    	    2081.438    	   4.8148155E-02
   -80.62500    	    2081.438    	   0.4138889    
   -80.87500    	    2081.562    	   0.0000000E+00
   -80.62500    	    2081.562    	    1.247222    
   -80.87500    	    2081.688    	   0.2148148    
   -80.62500    	    2081.688    	    1.216667    
   -80.87500    	    2081.812    	   7.4074077E-03
   -80.62500    	    2081.812    	   5.0000004E-02
