Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    29.12500    	    2084.312    	   0.3916666    
    29.37500    	    2084.312    	   0.4500000    
    29.12500    	    2084.438    	   0.3722222    
    29.37500    	    2084.438    	   0.5875000    
    29.12500    	    2084.562    	   0.4333334    
    29.37500    	    2084.562    	   0.4833334    
    29.12500    	    2084.688    	   0.1333333    
    29.37500    	    2084.688    	   1.0416667E-02
    29.12500    	    2084.812    	   0.2777778    
    29.37500    	    2084.812    	   5.8333326E-02
    29.12500    	    2084.938    	   0.1555555    
    29.37500    	    2084.938    	   0.0000000E+00
    29.12500    	    2085.062    	    2.652778    
    29.37500    	    2085.062    	   0.4083334    
    29.12500    	    2085.188    	   0.8388889    
    29.37500    	    2085.188    	   0.3750001    
    29.12500    	    2085.312    	   0.5500000    
    29.37500    	    2085.312    	   0.6312499    
