X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -84.87500    	    29.62500    	    2085.812    	    1.533333    
   -84.62500    	    29.62500    	    2085.812    	    3.250000    
   -84.87500    	    29.87500    	    2085.812    	    1.891667    
   -84.62500    	    29.87500    	    2085.812    	    2.527084    
   -84.87500    	    29.62500    	    2085.938    	    3.103704    
   -84.62500    	    29.62500    	    2085.938    	    1.736111    
   -84.87500    	    29.87500    	    2085.938    	    2.188889    
   -84.62500    	    29.87500    	    2085.938    	    1.531250    
   -84.87500    	    29.62500    	    2086.062    	    1.429630    
   -84.62500    	    29.62500    	    2086.062    	   6.1111111E-02
   -84.87500    	    29.87500    	    2086.062    	    1.494444    
   -84.62500    	    29.87500    	    2086.062    	   0.1145833    
   -84.87500    	    29.62500    	    2086.188    	    1.818519    
   -84.62500    	    29.62500    	    2086.188    	   0.3277778    
   -84.87500    	    29.87500    	    2086.188    	    1.463889    
   -84.62500    	    29.87500    	    2086.188    	    1.233333    
   -84.87500    	    29.62500    	    2086.312    	    1.085185    
   -84.62500    	    29.62500    	    2086.312    	    1.061111    
   -84.87500    	    29.87500    	    2086.312    	   0.5888895    
   -84.62500    	    29.87500    	    2086.312    	    1.529167    
   -84.87500    	    29.62500    	    2086.438    	   0.2259259    
   -84.62500    	    29.62500    	    2086.438    	   0.8888889    
   -84.87500    	    29.87500    	    2086.438    	   0.1500000    
   -84.62500    	    29.87500    	    2086.438    	    1.145833    
   -84.87500    	    29.62500    	    2086.562    	   7.0370369E-02
   -84.62500    	    29.62500    	    2086.562    	   0.6138889    
   -84.87500    	    29.87500    	    2086.562    	   0.5666667    
   -84.62500    	    29.87500    	    2086.562    	   0.8500001    
   -84.87500    	    29.62500    	    2086.688    	   0.2296296    
   -84.62500    	    29.62500    	    2086.688    	    1.636111    
   -84.87500    	    29.87500    	    2086.688    	    1.741667    
   -84.62500    	    29.87500    	    2086.688    	    1.910416    
   -84.87500    	    29.62500    	    2086.812    	   0.3148148    
   -84.62500    	    29.62500    	    2086.812    	    1.613889    
   -84.87500    	    29.87500    	    2086.812    	   0.2000000    
   -84.62500    	    29.87500    	    2086.812    	   0.9187501    
