X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -61.87500    	    1728.812    	    3.063889    
   -61.62500    	    1728.812    	    4.772917    
   -61.87500    	    1728.938    	    3.461112    
   -61.62500    	    1728.938    	    5.343750    
   -61.87500    	    1729.062    	    3.911112    
   -61.62500    	    1729.062    	    2.370835    
   -61.87500    	    1729.188    	    2.683333    
   -61.62500    	    1729.188    	    3.539584    
   -61.87500    	    1729.312    	    5.375000    
   -61.62500    	    1729.312    	    10.35417    
   -61.87500    	    1729.438    	    6.888889    
   -61.62500    	    1729.438    	    6.137499    
   -61.87500    	    1729.562    	    3.552776    
   -61.62500    	    1729.562    	    2.170833    
   -61.87500    	    1729.688    	   0.3638889    
   -61.62500    	    1729.688    	   0.9791665    
   -61.87500    	    1729.812    	   0.2750000    
   -61.62500    	    1729.812    	   0.3104168    
