X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -83.37500    	    14.12500    	    1732.062    	   0.6388889    
   -83.12500    	    14.12500    	    1732.062    	   3.7037039E-03
   -83.37500    	    14.37500    	    1732.062    	   0.1729167    
   -83.12500    	    14.37500    	    1732.062    	   3.0555556E-02
   -83.37500    	    14.12500    	    1732.188    	   0.2861111    
   -83.12500    	    14.12500    	    1732.188    	   0.2814814    
   -83.37500    	    14.37500    	    1732.188    	   0.3729167    
   -83.12500    	    14.37500    	    1732.188    	   0.4750001    
   -83.37500    	    14.12500    	    1732.312    	    7.197222    
   -83.12500    	    14.12500    	    1732.312    	    6.903705    
   -83.37500    	    14.37500    	    1732.312    	    16.00625    
   -83.12500    	    14.37500    	    1732.312    	    10.72222    
   -83.37500    	    14.12500    	    1732.438    	    3.744445    
   -83.12500    	    14.12500    	    1732.438    	    6.440741    
   -83.37500    	    14.37500    	    1732.438    	    3.810418    
   -83.12500    	    14.37500    	    1732.438    	    8.058333    
   -83.37500    	    14.12500    	    1732.562    	    8.488890    
   -83.12500    	    14.12500    	    1732.562    	    8.737039    
   -83.37500    	    14.37500    	    1732.562    	    9.843751    
   -83.12500    	    14.37500    	    1732.562    	    8.522226    
   -83.37500    	    14.12500    	    1732.688    	    3.897223    
   -83.12500    	    14.12500    	    1732.688    	   0.9888894    
   -83.37500    	    14.37500    	    1732.688    	    2.225000    
   -83.12500    	    14.37500    	    1732.688    	   0.5694447    
   -83.37500    	    14.12500    	    1732.812    	   0.4250000    
   -83.12500    	    14.12500    	    1732.812    	   3.7037041E-02
   -83.37500    	    14.37500    	    1732.812    	   7.7083342E-02
   -83.12500    	    14.37500    	    1732.812    	   4.4444453E-02
   -83.37500    	    14.12500    	    1732.938    	   4.1666668E-02
   -83.12500    	    14.12500    	    1732.938    	   0.0000000E+00
   -83.37500    	    14.37500    	    1732.938    	   4.1666668E-02
   -83.12500    	    14.37500    	    1732.938    	   0.0000000E+00
   -83.37500    	    14.12500    	    1733.062    	   0.0000000E+00
   -83.12500    	    14.12500    	    1733.062    	   0.0000000E+00
   -83.37500    	    14.37500    	    1733.062    	   0.0000000E+00
   -83.12500    	    14.37500    	    1733.062    	   0.0000000E+00
