X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -97.87500    	    24.12500    	    6115.188    	    17.49333    
   -97.62500    	    24.12500    	    6115.188    	    19.07667    
   -97.87500    	    24.37500    	    6115.188    	    14.82333    
   -97.62500    	    24.37500    	    6115.188    	    17.07333    
   -97.87500    	    24.12500    	    6115.312    	    6.620000    
   -97.62500    	    24.12500    	    6115.312    	    2.383333    
   -97.87500    	    24.37500    	    6115.312    	    8.060000    
   -97.62500    	    24.37500    	    6115.312    	    3.143333    
   -97.87500    	    24.12500    	    6115.438    	    2.060000    
   -97.62500    	    24.12500    	    6115.438    	    1.526667    
   -97.87500    	    24.37500    	    6115.438    	    2.196666    
   -97.62500    	    24.37500    	    6115.438    	   0.7166666    
   -97.87500    	    24.12500    	    6115.562    	   0.3433333    
   -97.62500    	    24.12500    	    6115.562    	   3.3333332E-03
   -97.87500    	    24.37500    	    6115.562    	    1.056667    
   -97.62500    	    24.37500    	    6115.562    	   3.3333332E-03
   -97.87500    	    24.12500    	    6115.688    	   0.0000000E+00
   -97.62500    	    24.12500    	    6115.688    	   0.0000000E+00
   -97.87500    	    24.37500    	    6115.688    	   0.0000000E+00
   -97.62500    	    24.37500    	    6115.688    	   0.0000000E+00
   -97.87500    	    24.12500    	    6115.812    	   0.0000000E+00
   -97.62500    	    24.12500    	    6115.812    	   0.0000000E+00
   -97.87500    	    24.37500    	    6115.812    	   0.0000000E+00
   -97.62500    	    24.37500    	    6115.812    	   0.0000000E+00
   -97.87500    	    24.12500    	    6115.938    	   0.0000000E+00
   -97.62500    	    24.12500    	    6115.938    	   0.0000000E+00
   -97.87500    	    24.37500    	    6115.938    	   0.0000000E+00
   -97.62500    	    24.37500    	    6115.938    	   0.0000000E+00
   -97.87500    	    24.12500    	    6116.062    	   0.0000000E+00
   -97.62500    	    24.12500    	    6116.062    	   0.0000000E+00
   -97.87500    	    24.37500    	    6116.062    	   0.0000000E+00
   -97.62500    	    24.37500    	    6116.062    	   0.0000000E+00
   -97.87500    	    24.12500    	    6116.188    	   0.0000000E+00
   -97.62500    	    24.12500    	    6116.188    	   0.0000000E+00
   -97.87500    	    24.37500    	    6116.188    	   0.0000000E+00
   -97.62500    	    24.37500    	    6116.188    	   0.0000000E+00
